Title 电影,Director 导演,Rank 排名,Year 年份,豆瓣电影,豆瓣打分,豆瓣信息,IMDb电影,IMDb打分
Citizen Kane,Orson Welles,🎉001,1941,[公民凯恩 Citizen Kane](https://movie.douban.com/subject/1292288/),🌟8.8,"导演: 奥逊·威尔斯, 主演: 奥逊·威尔斯 / 约瑟夫·科顿 / 多萝西·康明戈尔, 类型: 剧情 / 悬疑, 制片国家/地区: 美国, 年份: 1941",[Citizen Kane](https://www.imdb.com/title/tt0033467/),🌟8.3
The Godfather,Francis Ford Coppola,🎉002,1972,[教父 The Godfather](https://movie.douban.com/subject/1291841/),🌟9.3,"导演: 弗朗西斯·福特·科波拉, 主演: 马龙·白兰度 / 阿尔·帕西诺 / 詹姆斯·肯恩, 类型: 剧情 / 犯罪, 制片国家/地区: 美国, 年份: 1972",[The Godfather](https://www.imdb.com/title/tt0068646/),🌟9.2
Casablanca,Michael Curtiz,🎉003,1942,[卡萨布兰卡 Casablanca](https://movie.douban.com/subject/1296753/),🌟8.7,"导演: 迈克尔·柯蒂兹, 主演: 亨弗莱·鲍嘉 / 英格丽·褒曼 / 保罗·亨雷德, 类型: 剧情 / 爱情 / 战争, 制片国家/地区: 美国, 年份: 1942",[Casablanca](https://www.imdb.com/title/tt0034583/),🌟8.5
Raging Bull,Martin Scorsese,🎉004,1980,[愤怒的公牛 Raging Bull](https://movie.douban.com/subject/1293155/),🌟8.4,"导演: 马丁·斯科塞斯, 主演: 罗伯特·德尼罗 / 凯西·莫拉蒂 / 乔·佩西, 类型: 剧情 / 传记 / 运动, 制片国家/地区: 美国, 年份: 1980",[Raging Bull](https://www.imdb.com/title/tt0081398/),🌟8.1
Singin' in the Rain,"Gene Kelly, Stanley Donen",🎉005,1952,[雨中曲 Singin' in the Rain](https://movie.douban.com/subject/1293460/),🌟9.1,"导演: 斯坦利·多南 / 吉恩·凯利, 主演: 吉恩·凯利 / 唐纳德·奥康纳 / 黛比·雷诺斯, 类型: 喜剧 / 歌舞 / 爱情, 制片国家/地区: 美国, 年份: 1952",[Singin' in the Rain](https://www.imdb.com/title/tt0045152/),🌟8.3
Gone with the Wind,"Victor Fleming, Sam Wood, George Cukor, Chester Franklin, James Fitzpatrick",🎉006,1939,[乱世佳人 Gone with the Wind](https://movie.douban.com/subject/1300267/),🌟9.3,"导演: 维克多·弗莱明 / 乔治·库克 / 山姆·伍德, 主演: 费雯·丽 / 克拉克·盖博 / 奥利维娅·德哈维兰, 类型: 剧情 / 历史 / 爱情 / 战争, 制片国家/地区: 美国, 年份: 1939",[Gone with the Wind](https://www.imdb.com/title/tt0031381/),🌟8.2
Lawrence of Arabia,David Lean,🎉007,1962,[阿拉伯的劳伦斯 Lawrence of Arabia](https://movie.douban.com/subject/1292349/),🌟8.7,"导演: 大卫·里恩, 主演: 彼得·奥图尔 / 亚历克·吉尼斯 / 安东尼·奎恩, 类型: 剧情 / 传记 / 冒险, 制片国家/地区: 英国, 年份: 1962",[Lawrence of Arabia](https://www.imdb.com/title/tt0056172/),🌟8.3
Schindler's List,Steven Spielberg,🎉008,1993,[辛德勒的名单 Schindler's List](https://movie.douban.com/subject/1295124/),🌟9.6,"导演: 史蒂文·斯皮尔伯格, 主演: 连姆·尼森 / 本·金斯利 / 拉尔夫·费因斯, 类型: 剧情 / 历史 / 战争, 制片国家/地区: 美国, 年份: 1993",[Schindler's List](https://www.imdb.com/title/tt0108052/),🌟9
Vertigo,Alfred Hitchcock,🎉009,1958,[迷魂记 Vertigo](https://movie.douban.com/subject/1297294/),🌟8.7,"导演: 阿尔弗雷德·希区柯克, 主演: 詹姆斯·斯图尔特 / 金·诺瓦克 / 芭芭拉·贝尔·戈迪斯, 类型: 爱情 / 悬疑 / 惊悚, 制片国家/地区: 美国, 年份: 1958",[Vertigo](https://www.imdb.com/title/tt0052357/),🌟8.3
The Wizard of Oz,"Victor Fleming, King Vidor",🎉010,1939,[绿野仙踪 The Wizard of Oz](https://movie.douban.com/subject/1292625/),🌟8.2,"导演: 维克多·弗莱明, 主演: 朱迪·加兰 / 弗兰克·摩根 / 雷·博尔格, 类型: 歌舞 / 奇幻 / 冒险, 制片国家/地区: 美国, 年份: 1939",[The Wizard of Oz](https://www.imdb.com/title/tt0032138/),🌟8.1
