Title 电影,Director 导演,Rank 排名,Year 年份,Region 地区,豆瓣电影,豆瓣打分,豆瓣信息,IMDb电影,IMDb打分
2001: A Space Odyssey,Directed by Stanley Kubrick,🎉001,1968,"USA, United Kingdom",[2001太空漫游 2001: A Space Odyssey](https://movie.douban.com/subject/1292226/),🌟8.9,"导演: 斯坦利·库布里克, 主演: 凯尔·杜拉 / 加里·洛克伍德 / 威廉姆·西尔维斯特, 类型: 科幻 / 惊悚 / 冒险, 制片国家/地区: 英国/美国, 年份: 1968",[2001: A Space Odyssey](https://www.imdb.com/title/tt0062622/),🌟8.3
Citizen Kane,Directed by Orson Welles,🎉002,1941,USA,[公民凯恩 Citizen Kane](https://movie.douban.com/subject/1292288/),🌟8.8,"导演: 奥逊·威尔斯, 主演: 奥逊·威尔斯 / 约瑟夫·科顿 / 多萝西·康明戈尔, 类型: 剧情 / 悬疑, 制片国家/地区: 美国, 年份: 1941",[Citizen Kane](https://www.imdb.com/title/tt0033467/),🌟8.3
The Godfather,Directed by Francis Ford Coppola,🎉003,1972,USA,[教父 The Godfather](https://movie.douban.com/subject/1291841/),🌟9.3,"导演: 弗朗西斯·福特·科波拉, 主演: 马龙·白兰度 / 阿尔·帕西诺 / 詹姆斯·肯恩, 类型: 剧情 / 犯罪, 制片国家/地区: 美国, 年份: 1972",[The Godfather](https://www.imdb.com/title/tt0068646/),🌟9.2
Tokyo Story,Directed by Yasujirō Ozu,🎉004,1953,Japan,[东京物语 東京物語](https://movie.douban.com/subject/1291568/),🌟9.1,"导演: 小津安二郎, 主演: 笠智众 / 原节子 / 杉村春子, 类型: 剧情 / 家庭, 制片国家/地区: 日本, 年份: 1953",[Tokyo Story](https://www.imdb.com/title/tt0046438/),🌟8.1
"Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles",Directed by Chantal Akerman,🎉004,1975,"Belgium, France","[让娜·迪尔曼 Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles](https://movie.douban.com/subject/1868933/)",🌟8.9,"导演: 香特尔·阿克曼, 主演: 德菲因·塞里格 / 亨利.斯多克 / 雅克·多尼奥-瓦克罗兹, 类型: 剧情, 制片国家/地区: 比利时/法国, 年份: 1975","[Jeanne Dielman, 23, quai du commerce, 1080 Bruxelles](https://www.imdb.com/title/tt0073198/)",🌟7.5
8½,Directed by Federico Fellini,🎉006,1963,"Italy, France",[八部半 8½](https://movie.douban.com/subject/1361276/),🌟8.6,"导演: 费德里科·费里尼, 主演: 马塞洛·马斯楚安尼 / 克劳迪娅·卡汀娜 / 阿努克·艾梅, 类型: 剧情, 制片国家/地区: 意大利/法国, 年份: 1963",[8½](https://www.imdb.com/title/tt0056801/),🌟8
Vertigo,Directed by Alfred Hitchcock,🎉006,1958,USA,[迷魂记 Vertigo](https://movie.douban.com/subject/1297294/),🌟8.7,"导演: 阿尔弗雷德·希区柯克, 主演: 詹姆斯·斯图尔特 / 金·诺瓦克 / 芭芭拉·贝尔·戈迪斯, 类型: 爱情 / 悬疑 / 惊悚, 制片国家/地区: 美国, 年份: 1958",[Vertigo](https://www.imdb.com/title/tt0052357/),🌟8.3
Mirror,Directed by Andrei Tarkovsky,🎉008,1975,USSR,[镜子 Зеркало](https://movie.douban.com/subject/1299248/),🌟9.0,"导演: 安德烈·塔可夫斯基, 主演: 玛格丽特·捷列霍娃 / 因诺肯季·斯莫克图诺夫斯基 / 奥列格·扬科夫斯基, 类型: 传记 / 剧情 / 历史 / 战争, 制片国家/地区: 苏联, 年份: 1975",[Mirror](https://www.imdb.com/title/tt0072443/),🌟8
Persona,Directed by Ingmar Bergman,🎉009,1966,Sweden,[假面 Persona](https://movie.douban.com/subject/1294438/),🌟8.8,"导演: 英格玛·伯格曼, 主演: 毕比·安德松 / 丽芙·乌曼 / 玛格丽塔·克罗克, 类型: 剧情 / 惊悚, 制片国家/地区: 瑞典, 年份: 1966",[Persona](https://www.imdb.com/title/tt0060827/),🌟8.1
Close-up,Directed by Abbas Kiarostami,🎉009,1989,Iran,[特写 کلوزآپ](https://movie.douban.com/subject/1303521/),🌟8.8,"导演: 阿巴斯·基亚罗斯塔米, 主演: Hossain Sabzian / 莫森·玛克玛尔巴夫 / Abolfazl Ahankhah, 类型: 犯罪 / 剧情, 制片国家/地区: 伊朗, 年份: 1990",[Close-Up](https://www.imdb.com/title/tt0100234/),🌟8.2
In the Mood for Love,Directed by Wong Kar Wai,🎉009,2000,"Hong Kong, France",[花样年华 花樣年華](https://movie.douban.com/subject/1291557/),🌟8.7,"导演: 王家卫, 主演: 梁朝伟 / 张曼玉 / 潘迪华, 类型: 剧情 / 爱情, 制片国家/地区: 中国香港, 年份: 2000",[In the Mood for Love](https://www.imdb.com/title/tt0118694/),🌟8.1
