Title 电影,Director 导演,Rank 排名,Year 年份,Region 地区,豆瓣电影,豆瓣打分,豆瓣信息,IMDb电影,IMDb打分
"Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles",Directed by Chantal Akerman,🎉001,1975,"Belgium, France","[让娜·迪尔曼 Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles](https://movie.douban.com/subject/1868933/)",🌟8.9,"导演: 香特尔·阿克曼, 主演: 德菲因·塞里格 / 亨利.斯多克 / 雅克·多尼奥-瓦克罗兹, 类型: 剧情, 制片国家/地区: 比利时/法国, 年份: 1975","[Jeanne Dielman, 23, quai du commerce, 1080 Bruxelles](https://www.imdb.com/title/tt0073198/)",🌟7.5
Vertigo,Directed by Alfred Hitchcock,🎉002,1958,USA,[迷魂记 Vertigo](https://movie.douban.com/subject/1297294/),🌟8.7,"导演: 阿尔弗雷德·希区柯克, 主演: 詹姆斯·斯图尔特 / 金·诺瓦克 / 芭芭拉·贝尔·戈迪斯, 类型: 爱情 / 悬疑 / 惊悚, 制片国家/地区: 美国, 年份: 1958",[Vertigo](https://www.imdb.com/title/tt0052357/),🌟8.3
Citizen Kane,Directed by Orson Welles,🎉003,1941,USA,[公民凯恩 Citizen Kane](https://movie.douban.com/subject/1292288/),🌟8.8,"导演: 奥逊·威尔斯, 主演: 奥逊·威尔斯 / 约瑟夫·科顿 / 多萝西·康明戈尔, 类型: 剧情 / 悬疑, 制片国家/地区: 美国, 年份: 1941",[Citizen Kane](https://www.imdb.com/title/tt0033467/),🌟8.3
Tokyo Story,Directed by Yasujirō Ozu,🎉004,1953,Japan,[东京物语 東京物語](https://movie.douban.com/subject/1291568/),🌟9.1,"导演: 小津安二郎, 主演: 笠智众 / 原节子 / 杉村春子, 类型: 剧情 / 家庭, 制片国家/地区: 日本, 年份: 1953",[Tokyo Story](https://www.imdb.com/title/tt0046438/),🌟8.1
In the Mood for Love,Directed by Wong Kar Wai,🎉005,2000,"Hong Kong, France",[花样年华 花樣年華](https://movie.douban.com/subject/1291557/),🌟8.7,"导演: 王家卫, 主演: 梁朝伟 / 张曼玉 / 潘迪华, 类型: 剧情 / 爱情, 制片国家/地区: 中国香港, 年份: 2000",[In the Mood for Love](https://www.imdb.com/title/tt0118694/),🌟8.1
2001: A Space Odyssey,Directed by Stanley Kubrick,🎉006,1968,"USA, United Kingdom",[2001太空漫游 2001: A Space Odyssey](https://movie.douban.com/subject/1292226/),🌟8.9,"导演: 斯坦利·库布里克, 主演: 凯尔·杜拉 / 加里·洛克伍德 / 威廉姆·西尔维斯特, 类型: 科幻 / 惊悚 / 冒险, 制片国家/地区: 英国/美国, 年份: 1968",[2001: A Space Odyssey](https://www.imdb.com/title/tt0062622/),🌟8.3
Beau travail,Directed by Claire Denis,🎉007,1998,France,[军中禁恋 Beau travail](https://movie.douban.com/subject/1306791/),🌟7.4,"导演: 克莱尔·德尼, 主演: 德尼·拉旺 / 米歇尔·索博 / 格莱戈尔·科林, 类型: 剧情 / 同性, 制片国家/地区: 法国, 年份: 1999",[Beau travail](https://www.imdb.com/title/tt0209933/),🌟7.3
Mulholland Dr.,Directed by David Lynch,🎉008,2001,"France, USA",[穆赫兰道 Mulholland Dr.](https://movie.douban.com/subject/1292217/),🌟8.4,"导演: 大卫·林奇, 主演: 娜奥米·沃茨 / 劳拉·哈灵 / 安·米勒, 类型: 剧情 / 悬疑 / 惊悚, 制片国家/地区: 法国/美国, 年份: 2001",[Mulholland Drive](https://www.imdb.com/title/tt0166924/),🌟7.9
Man with a Movie Camera,Directed by Dziga Vertov,🎉009,1929,"USSR, Ukraine",[持摄影机的人 Человек с Киноаппаратом](https://movie.douban.com/subject/1293199/),🌟9.1,"导演: 吉加·维尔托夫, 主演: Mikhail Kaufman, 类型: 纪录片, 制片国家/地区: 苏联, 年份: 1929",[Man with a Movie Camera](https://www.imdb.com/title/tt0019760/),🌟8.4
Singin' in the Rain,"Directed by Gene Kelly, Stanley Donen",🎉010,1951,USA,[雨中曲 Singin' in the Rain](https://movie.douban.com/subject/1293460/),🌟9.1,"导演: 斯坦利·多南 / 吉恩·凯利, 主演: 吉恩·凯利 / 唐纳德·奥康纳 / 黛比·雷诺斯, 类型: 喜剧 / 歌舞 / 爱情, 制片国家/地区: 美国, 年份: 1952",[Singin' in the Rain](https://www.imdb.com/title/tt0045152/),🌟8.3
