Index,Tag,Eclipse-Series,Spine #,Title,Director,Country,Year,豆瓣电影,豆瓣年份,豆瓣打分,备注
0,bs-#66, ,66,[The Orphic Trilogy](https://www.criterion.com/boxsets/155), , , ,**（让·科克托）奥菲斯三部曲**, , , 
1,bs-#66, ,67,The Blood of a Poet,Jean Cocteau,France,1930,[诗人之血 Le Sang d'un Poète](https://movie.douban.com/subject/1303263/),1932,8.2, 
2,bs-#66, ,68,Orpheus,Jean Cocteau,France,1950,[奥菲斯 Orphée](https://movie.douban.com/subject/1436764/),1950,8.3, 
3,bs-#66, ,69,Testament of Orpheus,Jean Cocteau,France,1959,[奥菲斯的遗嘱 Le testament d'Orphée ou ne me demandez pas pourquoi](https://movie.douban.com/subject/1419169/),1960,8.3, 
4,bs-#86, ,86,[Eisenstein: The Sound Years](https://www.criterion.com/boxsets/204-eisenstein-the-sound-years), , , ,**谢尔盖·爱森斯坦：有声岁月**, , , 
5,bs-#86, ,87,Alexander Nevsky,Sergei Eisenstein,Soviet Union,1938,[亚历山大·涅夫斯基 Александр Невский](https://movie.douban.com/subject/1299973/),1938,7.1, 
6,bs-#86, ,88,"Ivan the Terrible, Part I",Sergei Eisenstein,Soviet Union,1944,[伊凡雷帝 Иван Грозный](https://movie.douban.com/subject/1298182/),1944,8.0, 
7,bs-#86, ,88,"Ivan the Terrible, Part II",Sergei Eisenstein,Soviet Union,1958,[伊凡雷帝2 Иван Грозный 2: Боярский заговор](https://movie.douban.com/subject/1474367/),1958,8.2, 
8,bs-#124, ,124,[Carl Theodor Dreyer](https://www.criterion.com/boxsets/254-carl-theodor-dreyer), , , ,**卡尔·西奥多·德莱叶【合集】**, , , 
9,bs-#124, ,125,Day of Wrath,Carl Th. Dreyer,Denmark,1943,[复仇之日 Vredens dag](https://movie.douban.com/subject/1305896/),1943,8.3, 
10,bs-#124, ,126,Ordet,Carl Th. Dreyer,Denmark,1955,[词语 Ordet](https://movie.douban.com/subject/1303566/),1955,8.3, 
11,bs-#124, ,127,Gertrud,Carl Th. Dreyer,Denmark,1964,[葛楚 Gertrud](https://movie.douban.com/subject/1420116/),1964,8.1, 
12,bs-#124, ,128,Carl Th. Dreyer—My Metier,Torben Skjødt Jensen,Denmark,1995,[我的工作 Carl Th. Dreyer: Min metier](https://movie.douban.com/subject/1420117/),1995,7.9, 
13,bs-#167, ,167,[The Complete Monterey Pop Festival](https://www.criterion.com/boxsets/326-the-complete-monterey-pop-festival), , , ,**蒙特雷流行音乐节全记录**, , , 
14,bs-#167, ,168,Monterey Pop,D. A. Pennebaker,United States,1968,[蒙特雷流行音乐节 Monterey Pop](https://movie.douban.com/subject/1420268/),1968,9.0, 
15,bs-#167, ,169,Jimi Plays Monterey & Shake! Otis at Monterey,Chris Hegedus…,United States,1986,[吉米玩转蒙特雷音乐节 Jimi Plays Monterey](https://movie.douban.com/subject/1470499/),1986,8.8,吉米玩转蒙特雷和奥蒂斯震撼蒙特雷 之一
