Index,Tag,Spine #,Title,Director,Country,Year,豆瓣电影,豆瓣年份,豆瓣打分,豆瓣信息
0,spine,1,Grand Illusion,Jean Renoir,France,1937,[大幻影 La grande illusion](https://movie.douban.com/subject/1294808/),1937,8.4,"导演: 让·雷诺阿, 类型: 剧情, 地区: 法国"
1,spine,2,Seven Samurai,Akira Kurosawa,Japan,1954,[七武士 七人の侍](https://movie.douban.com/subject/1295399/),1954,9.3,"导演: 黑泽明, 类型: 动作, 地区: 日本"
2,spine,3,The Lady Vanishes,Alfred Hitchcock,United Kingdom,1938,[贵妇失踪记 The Lady Vanishes](https://movie.douban.com/subject/1292760/),1938,8.1,"导演: 阿尔弗雷德·希区柯克, 类型: 喜剧, 地区: 英国"
3,spine,4,Amarcord,Federico Fellini,Italy,1973,[阿玛柯德 Amarcord](https://movie.douban.com/subject/1298672/),1973,8.7,"导演: 费德里科·费里尼, 类型: 剧情, 地区: 意大利/法国"
4,spine,5,The 400 Blows,François Truffaut,France,1959,[四百击 Les quatre cents coups](https://movie.douban.com/subject/1300056/),1959,8.9,"导演: 弗朗索瓦·特吕弗, 类型: 犯罪, 地区: 法国"
5,spine,6,Beauty and the Beast,Jean Cocteau,France,1946,[美女与野兽 La belle et la bête](https://movie.douban.com/subject/1295913/),1946,7.8,"导演: 让·科克托, 类型: 剧情, 地区: 法国"
6,spine,7,A Night to Remember,Roy Ward Baker,United Kingdom,1958,[冰海沉船 A Night to Remember](https://movie.douban.com/subject/1292890/),1958,8.3,"导演: 罗伊·沃德·贝克, 类型: 剧情, 地区: 英国"
7,spine,8,The Killer,John Woo,Hong Kong,1989,[喋血双雄 喋血雙雄](https://movie.douban.com/subject/1296519/),1989,8.5,"导演: 吴宇森, 类型: 动作, 地区: 中国香港"
8,spine,9,Hard Boiled,John Woo,Hong Kong,1992,[辣手神探](https://movie.douban.com/subject/1293147/),1992,7.9,"导演: 吴宇森, 类型: 动作, 地区: 中国香港"
9,spine,10,Walkabout,Nicolas Roeg,United Kingdom,1971,[小姐弟荒原历险 Walkabout](https://movie.douban.com/subject/1295835/),1971,7.8,"导演: 尼古拉斯·罗伊格, 类型: 剧情, 地区: 英国/澳大利亚"
10,spine,11,The Seventh Seal,Ingmar Bergman,Sweden,1957,[第七封印 Det sjunde inseglet](https://movie.douban.com/subject/1293234/),1957,8.5,"导演: 英格玛·伯格曼, 类型: 剧情, 地区: 瑞典"
11,spine,12,This Is Spinal Tap,Rob Reiner,United States,1984,[摇滚万万岁 This Is Spinal Tap](https://movie.douban.com/subject/1293095/),1984,7.4,"导演: 罗伯·莱纳, 类型: 喜剧, 地区: 美国"
12,spine,13,The Silence of the Lambs,Jonathan Demme,United States,1991,[沉默的羔羊 The Silence of the Lambs](https://movie.douban.com/subject/1293544/),1991,8.9,"导演: 乔纳森·戴米, 类型: 剧情, 地区: 美国"
13,spine,14,Samurai I: Musashi Miyamoto,Hiroshi Inagaki,Japan,1954,[宫本武藏 宮本武蔵](https://movie.douban.com/subject/1296228/),1954,7.6,"导演: 稻垣浩, 类型: 动作, 地区: 日本"
14,spine,15,Samurai II: Duel at Ichijoji Temple,Hiroshi Inagaki,Japan,1955,[宫本武藏续 一乘寺之决斗 続宮本武蔵 一乗寺の決闘](https://movie.douban.com/subject/1304858/),1955,7.5,"导演: 稻垣浩, 类型: 动作, 地区: 日本"
