Index,年度十佳,排名,豆瓣电影,豆瓣年份,豆瓣打分,导演,主演,类型,制片国家/地区
0,2022年,1,[岛屿上的煎熬 Tourment sur les îles](https://movie.douban.com/subject/35211739/),2022.0,6.7, 阿尔伯特·塞拉, 伯努瓦·马吉梅尔 / 塞尔希·洛佩斯 / 吕伊斯·塞拉, 剧情 / 惊悚, 法国/西班牙/德国/葡萄牙
1,2022年,2,[甘草披萨 Licorice Pizza](https://movie.douban.com/subject/34888057/),2021.0,6.8, 保罗·托马斯·安德森, 阿拉娜·哈伊姆 / 库珀·霍夫曼 / 斯凯勒·吉桑多, 剧情 / 喜剧, 美国/加拿大
2,2022年,3,[不 Nope](https://movie.douban.com/subject/35240235/),2022.0,6.8, 乔丹·皮尔, 丹尼尔·卡卢亚 / 柯柯·帕尔莫 / 布兰登·佩利亚, 科幻 / 悬疑 / 惊悚 / 恐怖, 美国/日本/加拿大
3,2022年,4,[驴叫 EO](https://movie.douban.com/subject/35400649/),2022.0,6.8, 杰兹·斯科利莫夫斯基, 桑德拉·德拉兹马尔斯卡 / 伊莎贝尔·于佩尔 / 洛伦佐·祖佐洛, 剧情, 波兰/意大利
4,2022年,5,[偶然与想象 偶然と想像](https://movie.douban.com/subject/35360296/),2021.0,8.3, 滨口龙介, 古川琴音 / 涩川清彦 / 占部房子, 剧情 / 爱情, 日本
5,2022年,6,[土星保龄球 Bowling Saturne](https://movie.douban.com/subject/35371273/),2022.0,6.4, 帕特里西亚·玛佐, 阿里耶·沃索尔特 / 弗里德里克·范登德里舍 / Achille Reggiani, 剧情 / 惊悚, 法国/比利时
6,2022年,7,[阿波罗10½号：太空时代的童年 Apollo 10 1/2: A Space Age Childhood](https://movie.douban.com/subject/30142421/),2022.0,7.5, 理查德·林克莱特, 米洛·考伊 / 杰克·布莱克 / 李·埃迪, 剧情 / 科幻 / 动画 / 冒险, 美国
7,2022年,8,[引见 인트로덕션](https://movie.douban.com/subject/35360295/),2021.0,6.7, 洪常秀, 申锡镐 / 朴美姬 / 金英浩, 剧情, 韩国
8,2022年,9,[跟我走吧 Viens je t’emmène](https://movie.douban.com/subject/26792805/),2022.0,7.3, 阿兰·吉罗迪, 让-查理·克里切特 / 诺埃米·洛夫斯基 / 伊利斯·卡德里, 剧情 / 喜剧, 法国/比利时
9,2022年,10,[谁能阻挡我们 Quién lo impide](https://movie.douban.com/subject/35432327/),2021.0,7.6, 霍纳斯·特鲁埃瓦, 坎德拉·雷西奥 / Pablo Hoyos / 西尔维娅·阿吉拉, 剧情 / 纪录片, 西班牙
10,2021年,1,[第一头牛 First Cow](https://movie.douban.com/subject/30368608/),2019.0,7.7, 凯莉·莱卡特, 约翰·马加罗 / 奥赖恩·李 / 勒内·奥贝尔若努瓦, 剧情, 美国
