Index,排名,电影名,豆瓣电影,豆瓣年份,豆瓣打分,导演,主演,类型,地区
0,1,《公民凯恩》（1941，奥逊·威尔斯 Orson Welles）,[公民凯恩 Citizen Kane](https://movie.douban.com/subject/1292288/),1941,8.8,奥逊·威尔斯,奥逊·威尔斯 / 约瑟夫·科顿 / 多萝西·康明戈尔,剧情 / 悬疑,美国
1,2,《教父》（1972，弗朗西斯·福特·科波拉 Francis Ford Coppola）,[教父 The Godfather](https://movie.douban.com/subject/1291841/),1972,9.3,弗朗西斯·福特·科波拉,马龙·白兰度 / 阿尔·帕西诺 / 詹姆斯·肯恩,剧情 / 犯罪,美国
2,3,《牯岭街少年杀人事件》（1991，杨德昌 Edward Yang）,[牯岭街少年杀人事件 牯嶺街少年殺人事件](https://movie.douban.com/subject/1292329/),1991,8.9,杨德昌,张震 / 杨静怡 / 张国柱,剧情 / 犯罪,中国台湾
3,4,《2001太空漫游》（1968，斯坦利·库布里克 Stanley Kubrick）,[2001太空漫游 2001: A Space Odyssey](https://movie.douban.com/subject/1292226/),1968,8.9,斯坦利·库布里克,凯尔·杜拉 / 加里·洛克伍德 / 威廉姆·西尔维斯特,科幻 / 惊悚 / 冒险,英国/美国
4,5,《东京物语》（1953，小津安二郎 Yasujirô Ozu）,[东京物语 東京物語](https://movie.douban.com/subject/1291568/),1953,9.1,小津安二郎,笠智众 / 原节子 / 杉村春子,剧情 / 家庭,日本
5,6,《八部半》（1963，费德里科·费里尼 Federico Fellini）,[八部半 8½](https://movie.douban.com/subject/1361276/),1963,8.6,费德里科·费里尼,马塞洛·马斯楚安尼 / 克劳迪娅·卡汀娜 / 阿努克·艾梅,剧情,意大利/法国
6,7,《迷魂记》（1958，阿尔弗雷德·希区柯克 Alfred Hitchcock）,[迷魂记 Vertigo](https://movie.douban.com/subject/1297294/),1958,8.7,阿尔弗雷德·希区柯克,詹姆斯·斯图尔特 / 金·诺瓦克 / 芭芭拉·贝尔·戈迪斯,爱情 / 悬疑 / 惊悚,美国
7,8,《七武士》（1954，黑泽明 Akira Kurosawa）,[七武士 七人の侍](https://movie.douban.com/subject/1295399/),1954,9.3,黑泽明,三船敏郎 / 志村乔 / 津岛惠子,动作 / 冒险 / 剧情,日本
8,9,《大都会》（1927，弗里茨·朗 Fritz Lang）,[大都会 Metropolis](https://movie.douban.com/subject/1298107/),1927,9.1,弗里茨·朗,阿弗莱德·阿贝尔 / 古斯塔夫·佛力施 / 鲁道夫·克莱恩-鲁格,剧情 / 科幻,德国
9,10,《小城之春》（1948，费穆 Mu Fei）,[小城之春](https://movie.douban.com/subject/1323746/),1948,8.7,费穆,李纬 / 韦伟 / 石羽,剧情 / 爱情,中国大陆
10,11,《去年在马里昂巴德》（1961，阿伦·雷乃 Alain Resnais）,[去年在马里昂巴德 L'année dernière à Marienbad](https://movie.douban.com/subject/1400240/),1961,8.3,阿伦·雷乃,德菲因·塞里格 / 乔治·阿尔贝塔齐 / 萨夏·皮托埃夫,剧情 / 爱情 / 悬疑,法国/意大利
11,11,《战舰波将金号》（1925，谢尔盖·爱森斯坦 Sergei M. Eisenstein）,[战舰波将金号 Броненосец Потёмкин](https://movie.douban.com/subject/1293492/),1925,8.7,谢尔盖·爱森斯坦,亚历山大·安东诺夫 / 弗拉迪米尔·巴斯基 / 格里高利·亚历山德罗夫,剧情 / 历史 / 战争,苏联
12,11,《玩乐时间》（1967，雅克·塔蒂 Jacques Tati）,[玩乐时间 Play Time](https://movie.douban.com/subject/1303543/),1967,8.8,雅克·塔蒂,雅克·塔蒂 / Barbara Dennek / France Rumilly,喜剧,法国/意大利
13,14,《偷自行车的人》（1948，维托里奥·德·西卡 Vittorio De Sica）,[偷自行车的人 Ladri di biciclette](https://movie.douban.com/subject/1295873/),1948,9.1,维托里奥·德西卡,兰贝托·马乔拉尼 / 恩佐·斯泰奥拉 / 莉安拉·卡雷尔,犯罪 / 剧情,意大利
14,15,《奇遇》（1960，米开朗基罗·安东尼奥尼 Michelangelo Antonioni）,[奇遇 L'avventura](https://movie.douban.com/subject/1389923/),1960,8.2,米开朗基罗·安东尼奥尼,加布里埃尔·费泽蒂 / 莫妮卡·维蒂 / 蕾雅·马萨利,剧情 / 悬疑,意大利/法国
15,15,《悲情城市》（1989，侯孝贤 Hsiao-hsien Hou）,[悲情城市](https://movie.douban.com/subject/1294194/),1989,9.0,侯孝贤,梁朝伟 / 辛树芬 / 陈松勇,剧情 / 历史,中国台湾
16,15,《日出》（1927，F·W·茂瑙 F.W. Murnau）,[日出 Sunrise: A Song of Two Humans](https://movie.douban.com/subject/1295753/),1927,8.8,F·W·茂瑙,乔治·奥布莱恩 / 珍妮·盖诺 / 玛格丽特·利文斯顿,剧情 / 爱情,美国
17,15,《游戏规则》（1939，让·雷诺阿 Jean Renoir）,[游戏规则 La Règle du jeu](https://movie.douban.com/subject/1401261/),1939,8.4,让·雷诺阿,诺拉·格雷戈尔 / 波莱特·杜博斯特 / 米拉·帕雷利,喜剧 / 剧情,法国
18,19,《精疲力尽》（1960，让-吕克·戈达尔 Jean-Luc Godard）,[精疲力尽 À bout de souffle](https://movie.douban.com/subject/1353745/),1960,8.4,让-吕克·戈达尔,珍·茜宝 / 让-保罗·贝尔蒙多 / 达尼埃尔·布朗热,剧情 / 爱情 / 犯罪,法国
19,20,《甜蜜的生活》（1960，费德里科·费里尼 Federico Fellini）,[甜蜜的生活 La dolce vita](https://movie.douban.com/subject/1293271/),1960,8.6,费德里科·费里尼,马塞洛·马斯楚安尼 / 安妮塔·艾克伯格 / 阿努克·艾梅,剧情 / 喜剧,意大利/法国
20,21,《地下》（1995，埃米尔·库斯图里卡 Emir Kusturica）,[地下 Подземље](https://movie.douban.com/subject/1292206/),1995,9.2,埃米尔·库斯图里卡,米基·马诺伊洛维奇 / 拉扎尔·里斯托夫斯基 / 米里亚娜·约科维奇,剧情 / 战争,南斯拉夫/法国/德国/保加利亚/捷克/匈牙利/英国/美国
21,21,《城市之光》（1931，查理·卓别林 Charles Chaplin）,[城市之光 City Lights](https://movie.douban.com/subject/1293908/),1931,9.3,查理·卓别林,查理·卓别林 / 弗吉尼亚·切瑞尔 / 佛罗伦斯·李,喜剧 / 剧情 / 爱情,美国
22,21,《镜子》（1975，安德烈·塔科夫斯基 Andrei Tarkovsky）,[镜子 Зеркало](https://movie.douban.com/subject/1299248/),1975,9.0,安德烈·塔可夫斯基,玛格丽特·捷列霍娃 / 因诺肯季·斯莫克图诺夫斯基 / 奥列格·扬科夫斯基,传记 / 剧情 / 历史 / 战争,苏联
23,24,《圣女贞德蒙难记》（1928，卡尔·西奥多·德莱叶 Carl Theodor Dreyer）,[圣女贞德蒙难记 La Passion de Jeanne d'Arc](https://movie.douban.com/subject/1293783/),1928,8.7,卡尔·西奥多·德莱叶,玛利亚·法奥康涅蒂 / 安德烈·贝利 / 莫里斯·舒茨,传记 / 犯罪 / 剧情 / 历史,法国
24,24,《秋刀鱼之味》（1962，小津安二郎 Yasujirô Ozu）,[秋刀鱼之味 秋刀魚の味](https://movie.douban.com/subject/1294433/),1962,8.7,小津安二郎,笠智众 / 岩下志麻 / 冈田茉莉子,剧情 / 家庭,日本
25,24,《第七封印》（1957，英格玛·伯格曼 Ingmar Bergman）,[第七封印 Det sjunde inseglet](https://movie.douban.com/subject/1293234/),1957,8.5,英格玛·伯格曼,古纳尔·布约恩施特兰德 / 本特·埃切罗特 / 尼尔斯·波普,剧情 / 奇幻,瑞典
26,27,《M就是凶手》（1931，弗里茨·朗 Fritz Lang）,[M就是凶手 M - Eine Stadt sucht einen Mörder](https://movie.douban.com/subject/1293381/),1931,8.3,弗里茨·朗,彼得·洛 / 艾伦·维德曼 / 因格·兰德特,剧情 / 犯罪 / 惊悚 / 黑色电影,德国
27,27,《一一》（2000，杨德昌 Edward Yang）,[一一](https://movie.douban.com/subject/1292434/),2000,9.1,杨德昌,吴念真 / 李凯莉 / 金燕玲,剧情 / 爱情 / 家庭,中国台湾/日本
28,27,《低俗小说》（1994，昆汀·塔伦蒂诺 Quentin Tarantino）,[低俗小说 Pulp Fiction](https://movie.douban.com/subject/1291832/),1994,8.9,昆汀·塔伦蒂诺,约翰·特拉沃尔塔 / 乌玛·瑟曼 / 阿曼达·普拉莫,剧情 / 喜剧 / 犯罪,美国
29,27,《出租车司机》（1976，马丁·斯科塞斯 Martin Scorsese）,[出租车司机 Taxi Driver](https://movie.douban.com/subject/1292222/),1976,8.6,马丁·斯科塞斯,罗伯特·德尼罗 / 朱迪·福斯特 / 斯碧尔·谢波德,剧情 / 犯罪,美国
30,27,《四百击》（1959，弗朗索瓦·特吕弗 François Truffaut）,[四百击 Les quatre cents coups](https://movie.douban.com/subject/1300056/),1959,8.9,弗朗索瓦·特吕弗,让-皮埃尔·利奥德 / 克莱尔·莫里耶 / 阿尔贝·雷米,犯罪 / 剧情,法国
31,27,《浮云》（1955，成濑巳喜男 Mikio Naruse）,[浮云 浮雲](https://movie.douban.com/subject/1298870/),1955,8.6,成濑巳喜男,高峰秀子 / 森雅之 / 冈田茉莉子,剧情 / 爱情,日本
32,33,《惊魂记》（1960，阿尔弗雷德·希区柯克 Alfred Hitchcock）,[惊魂记 Psycho](https://movie.douban.com/subject/1293181/),1960,9.0,阿尔弗雷德·希区柯克,安东尼·博金斯 / 维拉·迈尔斯 / 约翰·加文,悬疑 / 惊悚 / 恐怖,美国
33,34,《持摄影机的人》（1929，吉加·维尔托夫 Dziga Vertov）,[持摄影机的人 Человек с Киноаппаратом](https://movie.douban.com/subject/1293199/),1929,9.1,吉加·维尔托夫,Mikhail Kaufman,纪录片,苏联
34,34,《摩登时代》（1936，查理·卓别林 Charles Chaplin）,[摩登时代 Modern Times](https://movie.douban.com/subject/1294371/),1936,9.3,查理·卓别林,查理·卓别林 / 宝莲·高黛 / 亨利·伯格曼,剧情 / 喜剧 / 爱情,美国
35,34,《日落大道》（1950，比利·怀尔德 Billy Wilder）,[日落大道 Sunset Blvd.](https://movie.douban.com/subject/1298733/),1950,8.8,比利·怀尔德,威廉·霍尔登 / 葛洛丽亚·斯旺森 / 埃里克·冯·施特罗海姆,剧情 / 黑色电影,美国
36,34,《现代启示录》（1979，弗朗西斯·福特·科波拉 Francis Ford Coppola）,[现代启示录 Apocalypse Now](https://movie.douban.com/subject/1292260/),1979,8.5,弗朗西斯·福特·科波拉,马丁·辛 / 马龙·白兰度 / 罗伯特·杜瓦尔,剧情 / 战争,美国
37,34,《罗生门》（1950，黑泽明 Akira Kurosawa）,[罗生门 羅生門](https://movie.douban.com/subject/1291879/),1950,8.8,黑泽明,三船敏郎 / 京町子 / 森雅之,剧情 / 犯罪 / 悬疑,日本
38,34,《阿玛柯德》（1973，费德里科·费里尼 Federico Fellini）,[阿玛柯德 Amarcord](https://movie.douban.com/subject/1298672/),1973,8.7,费德里科·费里尼,普佩拉·玛奇奥 / 阿尔曼多·布兰恰 / 玛加莉·诺埃尔,剧情 / 喜剧,意大利/法国
39,34,《雨中曲》（1952，斯坦利·杜南 Stanley Donen）,[雨中曲 Singin' in the Rain](https://movie.douban.com/subject/1293460/),1952,9.1,斯坦利·多南 / 吉恩·凯利,吉恩·凯利 / 唐纳德·奥康纳 / 黛比·雷诺斯,喜剧 / 歌舞 / 爱情,美国
40,41,《亚特兰大号》（1934，让·维果 Jean Vigo）,[亚特兰大号 L'Atalante](https://movie.douban.com/subject/1299433/),1934,8.1,让·维果,米歇尔·西蒙 / 迪塔·帕尔洛 / 让·达斯特,剧情 / 爱情,法国
41,41,《将军号》（1926，巴斯特·基顿 Buster Keaton）,[将军号 The General](https://movie.douban.com/subject/1292778/),1926,9.1,巴斯特·基顿 / 克莱德·布鲁克曼,巴斯特·基顿 / 玛丽昂·马克 / 格伦·卡文德,剧情 / 喜剧 / 动作 / 战争 / 冒险,美国
42,41,《广岛之恋》（1959，阿伦·雷乃 Alain Resnais）,[广岛之恋 Hiroshima mon amour](https://movie.douban.com/subject/1302050/),1959,7.9,阿伦·雷乃,埃玛妞·丽娃 / 冈田英次 / 贝尔纳·弗雷松,剧情 / 爱情 / 战争,法国/日本
43,41,《晚春》（1949，小津安二郎 Yasujirô Ozu）,[晚春 晩春](https://movie.douban.com/subject/1307265/),1949,8.7,小津安二郎,笠智众 / 原节子 / 月丘梦路,剧情 / 家庭,日本
44,41,《狂人皮埃罗》（1965，让-吕克·戈达尔 Jean-Luc Godard）,[狂人皮埃罗 Pierrot le fou](https://movie.douban.com/subject/1292533/),1965,8.4,让-吕克·戈达尔,让-保罗·贝尔蒙多 / 安娜·卡里娜 / 贾泽拉·加瓦尼,剧情 / 爱情 / 犯罪,法国/意大利
45,41,《童年往事》（1986，侯孝贤 Hsiao-hsien Hou）,[童年往事](https://movie.douban.com/subject/1300572/),1985,8.9,侯孝贤,游安顺 / 田丰 / 梅芳,剧情 / 传记 / 家庭,中国台湾
46,41,《芬妮与亚历山大》（1982，英格玛·伯格曼 Ingmar Bergman）,[芬妮与亚历山大 Fanny och Alexander](https://movie.douban.com/subject/1292784/),1982,8.7,英格玛·伯格曼,克里斯蒂娜·阿道夫森 / 伯杰·阿斯特 / 佩妮娜·奥威,剧情,法国/瑞典/西德
47,41,《蚀》（1962，米开朗基罗·安东尼奥尼 Michelangelo Antonioni）,[蚀 L'eclisse](https://movie.douban.com/subject/1293105/),1962,8.4,米开朗基罗·安东尼奥尼,阿兰·德龙 / 莫妮卡·维蒂 / 弗朗西斯科·拉瓦尔,剧情 / 爱情,意大利/法国
48,41,《阿拉伯的劳伦斯》（1962，大卫·里恩 David Lean）,[阿拉伯的劳伦斯 Lawrence of Arabia](https://movie.douban.com/subject/1292349/),1962,8.7,大卫·里恩,彼得·奥图尔 / 亚历克·吉尼斯 / 安东尼·奎恩,剧情 / 传记 / 冒险,英国
