Index,Group 分榜,Rank 排名,Title 电影,Score 打分,Region 地区,Genre 类型,Staff 人员
0,豆瓣2017评分最高的外语电影,1,摔跤吧！爸爸,9.00,印度, ,涅提·蒂瓦里 / 阿米尔·汗 / 法缇玛·萨那·纱卡
1,豆瓣2017评分最高的外语电影,2,请以你的名字呼唤我,8.80,意大利 法国 巴西 美国, ,卢卡·瓜达尼诺 / 艾米·汉莫 / 提莫西·查拉梅
2,豆瓣2017评分最高的外语电影,3,看不见的客人,8.80,西班牙, ,奥里奥尔·保罗 / 马里奥·卡萨斯 / 阿娜·瓦格纳
3,豆瓣2017评分最高的外语电影,4,海边的曼彻斯特,8.60,美国, ,肯尼思·洛纳根 / 卡西·阿弗莱克 / 卢卡斯·赫奇斯
4,豆瓣2017评分最高的外语电影,5,银翼杀手2049,8.30,美国 英国 加拿大 西班牙, ,丹尼斯·维伦纽瓦 / 瑞恩·高斯林 / 哈里森·福特
5,豆瓣2017评分最高的外语电影,6,至暗时刻,8.50,英国 美国, ,乔·赖特 / 加里·奥德曼 / 克里斯汀·斯科特·托马斯
6,豆瓣2017评分最高的外语电影,7,敦刻尔克,8.40,英国 法国 美国 荷兰, ,克里斯托弗·诺兰 / 菲恩·怀特海德 / 汤姆·格林-卡尼
7,豆瓣2017评分最高的外语电影,8,爱乐之城,8.40,美国, ,达米恩·查泽雷 / 瑞恩·高斯林 / 艾玛·斯通
8,豆瓣2017评分最高的外语电影,9,杰出公民,8.40,阿根廷 西班牙, ,加斯顿·杜帕拉特 / 奥斯卡·马丁内兹 / 达迪·布列瓦
9,豆瓣2017评分最高的外语电影,10,天才枪手,8.20,泰国, ,纳塔吾·彭皮里亚 / 茱蒂蒙·琼查容苏因 / 查侬·散顶腾古
10, , , , , , , 
11,豆瓣2017评分最高的华语电影,1,嘉年华,8.20,中国大陆 法国, ,文晏 / 文淇 / 周美君
12,豆瓣2017评分最高的华语电影,2,相爱相亲,8.30,中国大陆 中国台湾, ,张艾嘉 / 张艾嘉 / 田壮壮
13,豆瓣2017评分最高的华语电影,3,不成问题的问题,8.10,中国大陆 法国, ,梅峰 / 范伟 / 殷桃
14,豆瓣2017评分最高的华语电影,4,目击者之追凶,8.20,中国台湾, ,程伟豪 / 庄凯勋 / 许玮甯
15,豆瓣2017评分最高的华语电影,5,芳华,7.70,中国大陆, ,冯小刚 / 黄轩 / 苗苗
16,豆瓣2017评分最高的华语电影,6,一念无明,7.90,中国香港, ,黄进 / 曾志伟 / 余文乐
17,豆瓣2017评分最高的华语电影,7,冈仁波齐,7.70,中国大陆, ,张杨 / 尼玛扎堆 / 杨培
18,豆瓣2017评分最高的华语电影,8,绣春刀II：修罗战场,7.20,中国大陆, ,路阳 / 张震 / 杨幂
19,豆瓣2017评分最高的华语电影,9,闪光少女,7.20,中国大陆, ,王冉 / 徐璐 / 彭昱畅
20,豆瓣2017评分最高的华语电影,10,29+1,7.10,中国香港, ,彭秀慧 / 周秀娜 / 郑欣宜
21, , , , , , , 
22,豆瓣2017最受关注的院线电影,1,战狼2,7.10,中国大陆, ,吴京 / 吴京 / 弗兰克·格里罗
23,豆瓣2017最受关注的院线电影,2,摔跤吧！爸爸,9.00,印度, ,涅提·蒂瓦里 / 阿米尔·汗 / 法缇玛·萨那·纱卡
24,豆瓣2017最受关注的院线电影,3,爱乐之城,8.40,美国, ,达米恩·查泽雷 / 瑞恩·高斯林 / 艾玛·斯通
25,豆瓣2017最受关注的院线电影,4,寻梦环游记,9.10,美国, ,李·昂克里奇 / 安东尼·冈萨雷斯 / 盖尔·加西亚·贝纳尔
26,豆瓣2017最受关注的院线电影,5,乘风破浪,6.80,中国大陆, ,韩寒 / 邓超 / 彭于晏
27,豆瓣2017最受关注的院线电影,6,看不见的客人,8.80,西班牙, ,奥里奥尔·保罗 / 马里奥·卡萨斯 / 阿娜·瓦格纳
28,豆瓣2017最受关注的院线电影,7,敦刻尔克,8.40,英国 法国 美国 荷兰, ,克里斯托弗·诺兰 / 菲恩·怀特海德 / 汤姆·格林-卡尼
29,豆瓣2017最受关注的院线电影,8,羞羞的铁拳,6.80,中国大陆, ,宋阳 / 艾伦 / 马丽
30,豆瓣2017最受关注的院线电影,9,天才枪手,8.20,泰国, ,纳塔吾·彭皮里亚 / 茱蒂蒙·琼查容苏因 / 查侬·散顶腾古
