Index,Type 类别,Title 电影,Director 导演,Writer 编剧,Actor 主演,Rank 排名,Score 打分,Votes 人数,Comment 短评,Review 影评,Alias 别名,Year 年份,Region 地区,Genre 类型,Length 片长,IMDb
0,电影,[肖申克的救赎 The Shawshank Redemption](https://movie.douban.com/subject/1292052/),弗兰克·德拉邦特,弗兰克·德拉邦特 / 斯蒂芬·金,蒂姆·罗宾斯 / 摩根·弗里曼 / ...,🎉001,🌟9.7,2934733,574291,12803,The Shawshank Redemption / 月黑高飞(港) / 刺激1995(台) / 地狱诺言 / 铁窗岁月 / 消香克的救赎,1994,美国,剧情 / 犯罪,142分钟,[tt0111161](https://imdb.com/title/tt0111161)
1,电影,[霸王别姬](https://movie.douban.com/subject/1291546/),陈凯歌,芦苇 / 李碧华,张国荣 / 张丰毅 / ...,🎉002,🌟9.6,2167446,460347,9722,霸王别姬 / 再见，我的妾 / Farewell My Concubine / Adieu Ma Concubine,1993,中国大陆 / 中国香港,剧情 / 爱情 / 同性,171分钟 / 155分钟(美国剧场版),[tt0106332](https://imdb.com/title/tt0106332)
2,电影,[阿甘正传 Forrest Gump](https://movie.douban.com/subject/1292720/),罗伯特·泽米吉斯,埃里克·罗思 / 温斯顿·格鲁姆,汤姆·汉克斯 / 罗宾·怀特 / ...,🎉003,🌟9.5,2187849,366528,6870,Forrest Gump / 福雷斯特·冈普,1994,美国,剧情 / 爱情,142分钟,[tt0109830](https://imdb.com/title/tt0109830)
3,电影,[泰坦尼克号 Titanic](https://movie.douban.com/subject/1292722/),詹姆斯·卡梅隆,詹姆斯·卡梅隆,莱昂纳多·迪卡普里奥 / 凯特·温丝莱特 / ...,🎉004,🌟9.5,2220967,448456,8468,Titanic / 铁达尼号(港/台),1997,美国 / 墨西哥,剧情 / 爱情 / 灾难,194分钟 / 227分钟(白星版),[tt0120338](https://imdb.com/title/tt0120338)
4,电影,[这个杀手不太冷 Léon](https://movie.douban.com/subject/1295644/),吕克·贝松,吕克·贝松,让·雷诺 / 娜塔莉·波特曼 / ...,🎉005,🌟9.4,2320154,393933,6139,Léon / 终极追杀令(台) / 杀手莱昂 / 杀手里昂 / Leon / Leon: The Professional,1994,法国 / 美国,剧情 / 动作 / 犯罪,110分钟(剧场版) / 133分钟(国际版),[tt0110413](https://imdb.com/title/tt0110413)
5,电影,[千与千寻 千と千尋の神隠し](https://movie.douban.com/subject/1291561/),宫崎骏,宫崎骏,柊瑠美 / 入野自由 / ...,🎉006,🌟9.4,2271326,420261,6991,千と千尋の神隠し / 神隐少女(台) / 千与千寻的神隐 / Spirited Away / A Voyage of Chihiro / Sen to Chihiro no kamikakushi,2001,日本,剧情 / 动画 / 奇幻,125分钟,[tt0245429](https://imdb.com/title/tt0245429)
6,电影,[美丽人生 La vita è bella](https://movie.douban.com/subject/1292063/),罗伯托·贝尼尼,温琴佐·切拉米 / 罗伯托·贝尼尼,罗伯托·贝尼尼 / 尼可莱塔·布拉斯基 / ...,🎉007,🌟9.6,1341946,292933,5445,La vita è bella / 一个快乐的传说(港) / Life Is Beautiful,1997,意大利,剧情 / 喜剧 / 爱情 / 战争,116分钟(国际版) / 125分钟,[tt0118799](https://imdb.com/title/tt0118799)
7,电影,[星际穿越 Interstellar](https://movie.douban.com/subject/1889243/),克里斯托弗·诺兰,乔纳森·诺兰 / 克里斯托弗·诺兰,马修·麦康纳 / 安妮·海瑟薇 / ...,🎉008,🌟9.4,1875327,455639,6816,Interstellar / 星际启示录(港) / 星际效应(台) / 星际空间 / 星际之间 / 星际远航 / 星际 / Flora's Letter,2014,美国 / 英国 / 加拿大,剧情 / 科幻 / 冒险,169分钟,[tt0816692](https://imdb.com/title/tt0816692)
8,电影,[辛德勒的名单 Schindler's List](https://movie.douban.com/subject/1295124/),史蒂文·斯皮尔伯格,托马斯·肯尼利 / 斯蒂文·泽里安,连姆·尼森 / 本·金斯利 / ...,🎉009,🌟9.5,1121427,188262,3092,Schindler's List / 舒特拉的名单(港) / 辛德勒名单,1993,美国,剧情 / 历史 / 战争,195分钟,[tt0108052](https://imdb.com/title/tt0108052)
9,电影,[盗梦空间 Inception](https://movie.douban.com/subject/3541415/),克里斯托弗·诺兰,克里斯托弗·诺兰,莱昂纳多·迪卡普里奥 / 约瑟夫·高登-莱维特 / ...,🎉010,🌟9.4,2091881,407951,6831,Inception / 潜行凶间(港) / 全面启动(台) / 奠基 / 心灵犯案 / 记忆迷阵 / 记忆魔方,2010,美国 / 英国,剧情 / 科幻 / 悬疑 / 冒险,148分钟,[tt1375666](https://imdb.com/title/tt1375666)
10,电影,[楚门的世界 The Truman Show](https://movie.douban.com/subject/1292064/),彼得·威尔,安德鲁·尼科尔,金·凯瑞 / 劳拉·琳妮 / ...,🎉011,🌟9.4,1739093,345461,7274,The Truman Show / 真人Show(港) / 真人戏 / 真人世界 / 楚门秀 / 真人秀,1998,美国,剧情 / 科幻,103分钟,[tt0120382](https://imdb.com/title/tt0120382)
11,电影,[忠犬八公的故事 Hachi: A Dog's Tale](https://movie.douban.com/subject/3011091/),拉斯·霍尔斯道姆,斯蒂芬·P·林赛 / 新藤兼人,理查·基尔 / 莎拉·罗默尔 / ...,🎉012,🌟9.4,1412897,310775,4372,Hachi: A Dog's Tale / 秋田犬八千(港) / 忠犬小八(台) / 忠犬传奇,2009,美国 / 英国,剧情,93分钟,[tt1028532](https://imdb.com/title/tt1028532)
12,电影,[海上钢琴师 La leggenda del pianista sull'oceano](https://movie.douban.com/subject/1292001/),朱塞佩·托纳多雷,亚利桑德罗·巴里克 / 朱塞佩·托纳多雷,蒂姆·罗斯 / 普路特·泰勒·文斯 / ...,🎉013,🌟9.3,1696593,339815,9978,La leggenda del pianista sull'oceano / 声光伴我飞(港) / 一九零零的传奇 / 1900海上钢琴师 / 传奇1900 / The Legend of 1900 / The Legend Of The Pianist On The Ocean,1998,意大利,剧情 / 音乐,165分钟 / 120分钟(法国版) / 169分钟(加长版) / 125分钟(中国大陆),[tt0120731](https://imdb.com/title/tt0120731)
13,电影,[三傻大闹宝莱坞 3 Idiots](https://movie.douban.com/subject/3793023/),拉吉库马尔·希拉尼,维德胡·维诺德·乔普拉 / 拉吉库马尔·希拉尼 / 阿希贾特·乔希,阿米尔·汗 / 卡琳娜·卡普尔 / ...,🎉014,🌟9.2,1879458,369835,5185,3 Idiots / 三个傻瓜(台) / 作死不离3兄弟(港) / 三个白痴 / 三个傻蛋 / 三个呆瓜 / 三生万悟 / 寻找兰彻 / Three Idiots,2009,印度,剧情 / 喜剧 / 爱情 / 歌舞,171分钟(印度),[tt1187043](https://imdb.com/title/tt1187043)
14,电影,[放牛班的春天 Les choristes](https://movie.douban.com/subject/1291549/),克里斯托夫·巴哈蒂,乔治·沙普罗 / 勒·惠勒 / 诺埃-诺尔 / 克里斯托夫·巴哈蒂 / 菲利普·洛佩斯-屈瓦尔,让-巴蒂斯特·莫尼耶 / 热拉尔·朱尼奥 / ...,🎉015,🌟9.3,1327991,233528,3720,Les choristes / 歌声伴我心(港) / 唱诗班男孩 / The Chorus,2004,法国 / 瑞士 / 德国,剧情 / 音乐,97分钟,[tt0372824](https://imdb.com/title/tt0372824)
15,电影,[机器人总动员 WALL·E](https://movie.douban.com/subject/2131459/),安德鲁·斯坦顿,安德鲁·斯坦顿 / 吉姆·里尔顿 / 彼特·道格特,本·贝尔特 / 艾丽莎·奈特 / ...,🎉016,🌟9.3,1332171,239400,3210,WALL·E / 太空奇兵·威E(港) / 瓦力(台) / 星际总动员 / 地球废品分装员 / 机器人瓦力 / walle,2008,美国,科幻 / 动画 / 冒险,98分钟,[tt0910970](https://imdb.com/title/tt0910970)
16,电影,[疯狂动物城 Zootopia](https://movie.douban.com/subject/25662329/),拜伦·霍华德 / 瑞奇·摩尔 / 杰拉德·布什,拜伦·霍华德 / 瑞奇·摩尔 / 杰拉德·布什 / 吉姆·里尔顿 / 乔西·特立尼达 / 菲尔·约翰斯顿 / 珍妮弗·李,金妮弗·古德温 / 杰森·贝特曼 / ...,🎉017,🌟9.2,1967782,397073,4232,Zootopia / 优兽大都会(港) / 动物方城市(台) / 动物乌托邦 / 动物大都会 / Zootropolis,2016,美国,喜剧 / 动画 / 冒险,109分钟(中国大陆) / 108分钟,[tt2948356](https://imdb.com/title/tt2948356)
