Title 电影,Director 导演,Rank 排名,Score 打分,Alias 别名,Year 年份,Region 地区,Genre 类型
[肖申克的救赎](https://movie.douban.com/subject/1292052/),弗兰克·德拉邦特 Frank Darabont,🎉001,🌟9.7,The Shawshank Redemption / 月黑高飞(港)  /  刺激1995(台),1994,美国,犯罪 剧情
[霸王别姬](https://movie.douban.com/subject/1291546/),陈凯歌 Kaige Chen,🎉002,🌟9.6,再见，我的妾  /  Farewell My Concubine,1993,中国大陆 中国香港,剧情 爱情 同性
[阿甘正传](https://movie.douban.com/subject/1292720/),罗伯特·泽米吉斯 Robert Zemeckis,🎉003,🌟9.5,Forrest Gump / 福雷斯特·冈普,1994,美国,剧情 爱情
[泰坦尼克号](https://movie.douban.com/subject/1292722/),詹姆斯·卡梅隆 James Cameron,🎉004,🌟9.5,Titanic / 铁达尼号(港 / 台),1997,美国 墨西哥,剧情 爱情 灾难
[这个杀手不太冷](https://movie.douban.com/subject/1295644/),吕克·贝松 Luc Besson,🎉005,🌟9.4,Léon / 终极追杀令(台)  /  杀手莱昂,1994,法国 美国,剧情 动作 犯罪
[千与千寻](https://movie.douban.com/subject/1291561/),宫崎骏 Hayao Miyazaki,🎉006,🌟9.4,千と千尋の神隠し / 神隐少女(台)  /  千与千寻的神隐,2001,日本,剧情 动画 奇幻
[美丽人生](https://movie.douban.com/subject/1292063/),罗伯托·贝尼尼 Roberto Benigni,🎉007,🌟9.6,La vita è bella / 一个快乐的传说(港)  /  Life Is Beautiful,1997,意大利,剧情 喜剧 爱情 战争
[星际穿越](https://movie.douban.com/subject/1889243/),克里斯托弗·诺兰 Christopher Nolan,🎉008,🌟9.4,Interstellar / 星际启示录(港)  /  星际效应(台),2014,美国 英国 加拿大,剧情 科幻 冒险
[辛德勒的名单](https://movie.douban.com/subject/1295124/),史蒂文·斯皮尔伯格 Steven Spielberg,🎉009,🌟9.6,Schindler's List / 舒特拉的名单(港)  /  辛德勒名单,1993,美国,剧情 历史 战争
[盗梦空间](https://movie.douban.com/subject/3541415/),克里斯托弗·诺兰 Christopher Nolan,🎉010,🌟9.4,Inception / 潜行凶间(港)  /  全面启动(台),2010,美国 英国,剧情 科幻 悬疑 冒险
[楚门的世界](https://movie.douban.com/subject/1292064/),彼得·威尔 Peter Weir,🎉011,🌟9.4,The Truman Show / 真人Show(港)  /  真人戏,1998,美国,剧情 科幻
[忠犬八公的故事](https://movie.douban.com/subject/3011091/),莱塞·霍尔斯道姆 Lasse Hallström,🎉012,🌟9.4,Hachi: A Dog's Tale / 秋田犬八千(港)  /  忠犬小八(台),2009,美国 英国,剧情
[海上钢琴师](https://movie.douban.com/subject/1292001/),朱塞佩·托纳多雷 Giuseppe Tornatore,🎉013,🌟9.3,La leggenda del pianista sull'oceano / 声光伴我飞(港)  /  一九零零的传奇,1998,意大利,剧情 音乐
[三傻大闹宝莱坞](https://movie.douban.com/subject/3793023/),拉库马·希拉尼 Rajkumar Hirani,🎉014,🌟9.2,3 Idiots / 三个傻瓜(台)  /  作死不离3兄弟(港),2009,印度,剧情 喜剧 爱情 歌舞
[放牛班的春天](https://movie.douban.com/subject/1291549/),克里斯托夫·巴拉蒂 Christophe Barratier,🎉015,🌟9.3,Les choristes / 歌声伴我心(港)  /  唱诗班男孩,2004,法国 瑞士 德国,剧情 音乐
[机器人总动员](https://movie.douban.com/subject/2131459/),安德鲁·斯坦顿 Andrew Stanton,🎉016,🌟9.3,WALL·E / 太空奇兵·威E(港)  /  瓦力(台),2008,美国,科幻 动画 冒险
[疯狂动物城](https://movie.douban.com/subject/25662329/),拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore,🎉017,🌟9.2,Zootopia / 优兽大都会(港)  /  动物方城市(台),2016,美国,喜剧 动画 冒险
[无间道](https://movie.douban.com/subject/1307914/),刘伟强 / 麦兆辉,🎉018,🌟9.3,無間道 / Infernal Affairs  /  Mou gaan dou,2002,中国香港,剧情 犯罪 惊悚
[控方证人](https://movie.douban.com/subject/1296141/),比利·怀尔德 Billy Wilder,🎉019,🌟9.6,Witness for the Prosecution / 雄才伟略  /  情妇,1957,美国,剧情 犯罪 悬疑
[大话西游之大圣娶亲](https://movie.douban.com/subject/1292213/),刘镇伟 Jeffrey Lau,🎉020,🌟9.2,西遊記大結局之仙履奇緣 / 西游记完结篇仙履奇缘  /  齐天大圣西游记,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装
[熔炉](https://movie.douban.com/subject/5912992/),黄东赫 Dong-hyuk Hwang,🎉021,🌟9.4,도가니 / 无声呐喊(港)  /  漩涡,2011,韩国,剧情
[教父](https://movie.douban.com/subject/1291841/),弗朗西斯·福特·科波拉 Francis Ford Coppola,🎉022,🌟9.3,The Godfather / Mario Puzo's The Godfather,1972,美国,剧情 犯罪
[触不可及](https://movie.douban.com/subject/6786002/),奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano,🎉023,🌟9.3,Intouchables / 闪亮人生(港)  /  逆转人生(台),2011,法国,剧情 喜剧
[当幸福来敲门](https://movie.douban.com/subject/1849031/),加布里尔·穆奇诺 Gabriele Muccino,🎉024,🌟9.2,The Pursuit of Happyness / 寻找快乐的故事(港)  /  追求快乐,2006,美国,剧情 传记 家庭
[末代皇帝](https://movie.douban.com/subject/1293172/),贝纳尔多·贝托鲁奇 Bernardo Bertolucci,🎉025,🌟9.3,The Last Emperor / 末代皇帝溥仪(港)  /  L'ultimo imperatore,1987,英国 意大利 中国大陆 法国,剧情 传记 历史
[寻梦环游记](https://movie.douban.com/subject/20495023/),李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina,🎉026,🌟9.1,Coco / 玩转极乐园(港)  /  可可夜总会(台),2017,美国,喜剧 动画 奇幻 音乐
[龙猫](https://movie.douban.com/subject/1291560/),宫崎骏 Hayao Miyazaki,🎉027,🌟9.2,となりのトトロ / 邻居托托罗  /  邻家的豆豆龙,1988,日本,动画 奇幻 冒险
[怦然心动](https://movie.douban.com/subject/3319755/),罗伯·莱纳 Rob Reiner,🎉028,🌟9.1,Flipped / 萌动青春  /  青春萌动,2010,美国,剧情 喜剧 爱情
[活着](https://movie.douban.com/subject/1292365/),张艺谋 Yimou Zhang,🎉029,🌟9.3,人生  /  Lifetimes,1994,中国大陆 中国香港,剧情 历史 家庭
[蝙蝠侠：黑暗骑士](https://movie.douban.com/subject/1851857/),克里斯托弗·诺兰 Christopher Nolan,🎉030,🌟9.2,The Dark Knight / 蝙蝠侠前传2：黑暗骑士  /  黑暗骑士(台),2008,美国 英国,剧情 动作 科幻 犯罪 惊悚
[哈利·波特与魔法石](https://movie.douban.com/subject/1295038/),Chris Columbus,🎉031,🌟9.2,Harry Potter and the Sorcerer's Stone / 哈利波特1：神秘的魔法石(港 / 台),2001,美国 英国,奇幻 冒险
[指环王3：王者无敌](https://movie.douban.com/subject/1291552/),彼得·杰克逊 Peter Jackson,🎉032,🌟9.3,The Lord of the Rings: The Return of the King / 魔戒三部曲：王者再临(台 / 港),2003,美国 新西兰,剧情 动作 奇幻 冒险
[我不是药神](https://movie.douban.com/subject/26752088/),文牧野 Muye Wen,🎉033,🌟9.0,中国药神  /  印度药神,2018,中国大陆,剧情 喜剧
