Title 电影,Director 导演,Rank 排名,Score 打分,Year 年份,Region 地区
肖申克的救赎,弗兰克·德拉邦特,🎉001,🌟9.2,1994,美国
阿甘正传,罗伯特·泽米吉斯,🎉002,🌟9.1,1994,美国
辛德勒的名单,史蒂文·斯皮尔伯格,🎉003,🌟9.1,1993,美国
海豚湾,路易·西霍尤斯,🎉004,🌟9.1,2009,美国
盗梦空间,克里斯托弗·诺兰,🎉005,🌟9.1,2020,美国
霸王别姬,陈凯歌,🎉006,🌟9.0,1993,中国
教父,弗朗西斯·福特·科波拉,🎉007,🌟9.0,1972,美国
乱世佳人,维克多·弗莱明,🎉008,🌟9.0,1939,美国
天堂电影院,朱塞佩·托纳多雷,🎉009,🌟9.0,1988,意大利
这个杀手不太冷,吕克·贝松,🎉010,🌟9.0,1994,法国
疯狂足球队,乔阿奇姆·马萨内克,🎉011,🌟9.0,2003,德国
十二怒汉,西德尼·吕美特,🎉012,🌟9.0,1957,美国
灿烂人生,马可·图利欧·吉欧达纳,🎉013,🌟9.0,2003,意大利
妖妇, ,🎉014,🌟9.0,1926,美国
控方证人,比利·怀尔德,🎉015,🌟9.0,1958,美国
我的建筑师, ,🎉016,🌟9.0,2003,美国
阿巴合唱团,莱塞·霍尔斯道姆,🎉017,🌟9.0,1977,澳大利亚
电影之光：卓别林的艺界人生,理查德·什克尔,🎉018,🌟9.0,2003,美国
蝙蝠侠：黑暗骑士,克里斯托弗·诺兰,🎉019,🌟9.0,2008,美国
机器人总动员,安德鲁·斯坦顿,🎉020,🌟9.0,2008,美国
第九心脏,乔拉·赫兹,🎉024,🌟9.0, ,捷克斯洛伐克
芦笋,苏赞·佩蒂,🎉025,🌟9.0,2007,美国
蒙古草原，天气晴, ,🎉026,🌟9.0,2008,日本
戈达尔，爱情与诗歌, ,🎉027,🌟9.0,2007,法国
路易·C·K：我的上帝,路易斯·CK,🎉028,🌟9.0,2013,美国
寻梦环游记,李·昂克里奇,🎉029,🌟9.0,2020,美国
逃离小镇,盖尔·加西亚·贝纳尔,🎉031,🌟9.0,2019,墨西哥
鸟类变形记, ,🎉032,🌟9.0,2020, 
搏击俱乐部,大卫·芬奇,🎉033,🌟8.9,1999,美国
城市之光,查理·卓别林,🎉034,🌟8.9,1931,美国
教父2,弗朗西斯·福特·科波拉,🎉035,🌟8.9,1974,美国
美国往事,赛尔乔·莱昂内,🎉036,🌟8.9,1984,美国
七武士,黑泽明,🎉037,🌟8.9,1954,日本
千与千寻,宫崎骏,🎉038,🌟8.9,2019,日本
泰坦尼克号,詹姆斯·卡梅隆,🎉039,🌟8.9,1997,美国
