Index,Rank,Title,Director,Imdb,Year,Length,Color,Region,Genre
0,1,Citizen Kane,ORSON WELLES,tt0033467,1941 , 119m , BW , USA , Drama
1,2,Vertigo,ALFRED HITCHCOCK,tt0052357,1958 , 128m , Col , USA , Thriller
2,3,Rules of the Game,JEAN RENOIR,tt0031885,1939 , 113m , BW , France , Drama
3,4,2001: A Space Odyssey,STANLEY KUBRICK,tt0062622,1968 , 139m , Col , UK , Sci-Fi
4,5,8Â½,FEDERICO FELLINI,tt0056801,1963 , 135m , BW , Italy , Drama
5,6,Tokyo Story,YASUJIRO OZU,tt0046438,1953 , 134m , BW , Japan , Drama
6,7,The Searchers,JOHN FORD,tt0049730,1956 , 119m , Col , USA , Western
7,8,Sunrise,F.W. MURNAU,tt0018455,1927 , 110m , BW , USA , Drama-Crime
8,9,The Seven Samurai,AKIRA KUROSAWA,tt0047478,1954 , 200m , BW , Japan , Drama
9,10,Battleship Potemkin,SERGEI EISENSTEIN,tt0015648,1925 , 65m , BW , Russia , War-Historical
10,11,L'Atalante,JEAN VIGO,tt0024844,1934 , 89m , BW , France , Romance
11,12,Rashomon,AKIRA KUROSAWA,tt0042876,1950 , 88m , BW , Japan , Drama
12,13,The Godfather,FRANCIS FORD COPPOLA,tt0068646,1972 , 175m , Col , USA , Drama-Crime
13,14,Singin' in the Rain,STANLEY DONEN/GENE KELLY,tt0045152,1952 , 102m , Col , USA , Musical-Dance
14,15,The Passion of Joan of Arc,CARL DREYER,tt0019254,1928 , 77m , BW , France , Historical
15,16,La Dolce Vita,FEDERICO FELLINI,tt0053779,1960 , 175m , BW , Italy , Drama
16,17,The Bicycle Thief,VITTORIO DE SICA,tt0040522,1948 , 90m , BW , Italy , Drama
17,18,Touch of Evil,ORSON WELLES,tt0052311,1958 , 108m , BW , USA , Crime
18,19,The Godfather Part II,FRANCIS FORD COPPOLA,tt0071562,1974 , 200m , Col , USA , Drama-Crime
19,20,Raging Bull,MARTIN SCORSESE,tt0081398,1980 , 128m , BW , USA , Sports-Bio
20,21,Lawrence of Arabia,DAVID LEAN,tt0056172,1962 , 216m , Col , UK , War-Bio-Adventure
21,22,City Lights,CHARLES CHAPLIN,tt0021749,1931 , 86m , BW , USA , Comedy
22,23,The Mirror,ANDREI TARKOVSKY,tt0072443,1976 , 106m , Col , Russia , Drama
