Index,Title 电影,Rank 排名,Rank-2022,Director 导演,豆瓣电影,豆瓣打分,豆瓣信息,Year 年份,Region 地区,Genre 类型,IMDb Movie,IMDb Score
0,Citizen Kane,🎉001,🎉001,Orson Welles,[公民凯恩 Citizen Kane](https://movie.douban.com/subject/1292288/),🌟8.8,奥逊·威尔斯 / 奥逊·威尔斯 / 约瑟夫·科顿 / 多萝西·康明戈尔 / 剧情 / 悬疑 / 美国 / 1941,1941,USA,Drama-Mystery,[Citizen Kane](https://www.imdb.com/title/tt0033467/),🌟8.3
1,Vertigo,🎉002,🎉002,Alfred Hitchcock,[迷魂记 Vertigo](https://movie.douban.com/subject/1297294/),🌟8.7,阿尔弗雷德·希区柯克 / 詹姆斯·斯图尔特 / 金·诺瓦克 / 芭芭拉·贝尔·戈迪斯 / 爱情 / 悬疑 / 惊悚 / 美国 / 1958,1958,USA,Thriller-Drama-Mystery,[Vertigo](https://www.imdb.com/title/tt0052357/),🌟8.3
2,2001: A Space Odyssey,🎉003,🎉003,Stanley Kubrick,[2001太空漫游 2001: A Space Odyssey](https://movie.douban.com/subject/1292226/),🌟8.9,斯坦利·库布里克 / 凯尔·杜拉 / 加里·洛克伍德 / 威廉姆·西尔维斯特 / 科幻 / 惊悚 / 冒险 / 英国/美国 / 1968,1968,UK-USA,Science Fiction,[2001: A Space Odyssey](https://www.imdb.com/title/tt0062622/),🌟8.3
3,Tokyo Story,🎉004,🎉005,Yasujiro Ozu,[东京物语 東京物語](https://movie.douban.com/subject/1291568/),🌟9.1,小津安二郎 / 笠智众 / 原节子 / 杉村春子 / 剧情 / 家庭 / 日本 / 1953,1953,Japan,Drama,[Tokyo Story](https://www.imdb.com/title/tt0046438/),🌟8.1
4,"Rules of the Game, The",🎉005,🎉004,Jean Renoir,[游戏规则 La Règle du jeu](https://movie.douban.com/subject/1401261/),🌟8.4,让·雷诺阿 / 诺拉·格雷戈尔 / 波莱特·杜博斯特 / 米拉·帕雷利 / 喜剧 / 剧情 / 法国 / 1939,1939,France,Drama-Comedy,[The Rules of the Game](https://www.imdb.com/title/tt0031885/),🌟7.9
5,"Godfather, The",🎉006,🎉007,Francis Ford Coppola,[教父 The Godfather](https://movie.douban.com/subject/1291841/),🌟9.3,弗朗西斯·福特·科波拉 / 马龙·白兰度 / 阿尔·帕西诺 / 詹姆斯·肯恩 / 剧情 / 犯罪 / 美国 / 1972,1972,USA,Drama-Crime,[The Godfather](https://www.imdb.com/title/tt0068646/),🌟9.2
6,8½,🎉007,🎉006,Federico Fellini,[八部半 8½](https://movie.douban.com/subject/1361276/),🌟8.6,费德里科·费里尼 / 马塞洛·马斯楚安尼 / 克劳迪娅·卡汀娜 / 阿努克·艾梅 / 剧情 / 意大利/法国 / 1963,1963,Italy,Drama,[8½](https://www.imdb.com/title/tt0056801/),🌟8
7,Sunrise,🎉008,🎉008,F.W. Murnau,[日出 Sunrise: A Song of Two Humans](https://movie.douban.com/subject/1295753/),🌟8.8,F·W·茂瑙 / 乔治·奥布莱恩 / 珍妮·盖诺 / 玛格丽特·利文斯顿 / 剧情 / 爱情 / 美国 / 1927,1927,USA,Romance-Drama-Crime,[Sunrise](https://www.imdb.com/title/tt0018455/),🌟8.1
8,"Searchers, The",🎉009,🎉009,John Ford,[搜索者 The Searchers](https://movie.douban.com/subject/1292668/),🌟7.9,约翰·福特 / 约翰·韦恩 / 杰弗里·亨特 / 维拉·迈尔斯 / 剧情 / 西部 / 冒险 / 美国 / 1956,1956,USA,Western,[The Searchers](https://www.imdb.com/title/tt0049730/),🌟7.8
9,Seven Samurai,🎉010,🎉010,Akira Kurosawa,[七武士 七人の侍](https://movie.douban.com/subject/1295399/),🌟9.3,黑泽明 / 三船敏郎 / 志村乔 / 津岛惠子 / 动作 / 冒险 / 剧情 / 日本 / 1954,1954,Japan,Drama-Action,[Seven Samurai](https://www.imdb.com/title/tt0047478/),🌟8.6
