Index,Y2024 排名,豆瓣,IMDb,TSPDT-ID,Title 电影,Director 导演,Year 年份,Region 地区,Genre 类型,Length 片长,Colour 色彩
0,1,[公民凯恩 Citizen Kane-奥逊·威尔斯](https://movie.douban.com/subject/1292288/),[https://www.imdb.com/title/tt0033467/](https://www.imdb.com/title/https://www.imdb.com/title/tt0033467//),2425,Citizen Kane,Orson Welles,1941,USA,Drama-Mystery,119,BW
1,2,[迷魂记 Vertigo-阿尔弗雷德·希区柯克](https://movie.douban.com/subject/1297294/),[https://www.imdb.com/title/tt0052357/](https://www.imdb.com/title/https://www.imdb.com/title/tt0052357//),7704,Vertigo,Alfred Hitchcock,1958,USA,Thriller-Drama-Mystery,128,Col
2,3,[2001太空漫游 2001: A Space Odyssey-斯坦利·库布里克](https://movie.douban.com/subject/1292226/),[https://www.imdb.com/title/tt0062622/](https://www.imdb.com/title/https://www.imdb.com/title/tt0062622//),10165,2001: A Space Odyssey,Stanley Kubrick,1968,UK-USA,Science Fiction,139,Col
3,4,[东京物语 東京物語-小津安二郎](https://movie.douban.com/subject/1291568/),[https://www.imdb.com/title/tt0046438/](https://www.imdb.com/title/https://www.imdb.com/title/tt0046438//),5929,Tokyo Story,Yasujiro Ozu,1953,Japan,Drama,134,BW
4,5,[游戏规则 La Règle du jeu-让·雷诺阿](https://movie.douban.com/subject/1401261/),[https://www.imdb.com/title/tt0031885/](https://www.imdb.com/title/https://www.imdb.com/title/tt0031885//),2077,"Rules of the Game, The",Jean Renoir,1939,France,Drama-Comedy,113,BW
5,6,[教父 The Godfather-弗朗西斯·福特·科波拉](https://movie.douban.com/subject/1291841/),[https://www.imdb.com/title/tt0068646/](https://www.imdb.com/title/https://www.imdb.com/title/tt0068646//),11414,"Godfather, The",Francis Ford Coppola,1972,USA,Drama-Crime,175,Col
6,7,[八部半 8½-费德里科·费里尼](https://movie.douban.com/subject/1361276/),[https://www.imdb.com/title/tt0056801/](https://www.imdb.com/title/https://www.imdb.com/title/tt0056801//),8883,8½,Federico Fellini,1963,Italy,Drama,135,BW
7,8,[日出 Sunrise: A Song of Two Humans-F·W·茂瑙](https://movie.douban.com/subject/1295753/),[https://www.imdb.com/title/tt0018455/](https://www.imdb.com/title/https://www.imdb.com/title/tt0018455//),1514,Sunrise,F.W. Murnau,1927,USA,Romance-Drama-Crime,110,BW
8,9,[搜索者 The Searchers-约翰·福特](https://movie.douban.com/subject/1292668/),[https://www.imdb.com/title/tt0049730/](https://www.imdb.com/title/https://www.imdb.com/title/tt0049730//),6866,"Searchers, The",John Ford,1956,USA,Western,119,Col
9,10,[七武士 七人の侍-黑泽明](https://movie.douban.com/subject/1295399/),[https://www.imdb.com/title/tt0047478/](https://www.imdb.com/title/https://www.imdb.com/title/tt0047478//),6207,Seven Samurai,Akira Kurosawa,1954,Japan,Drama-Action,200,BW
10,11,[雨中曲 Singin' in the Rain-斯坦利·多南 / 吉恩·凯利](https://movie.douban.com/subject/1293460/),[https://www.imdb.com/title/tt0045152/](https://www.imdb.com/title/https://www.imdb.com/title/tt0045152//),5535,Singin' in the Rain,Stanley Donen & Gene Kelly,1952,USA,Musical-Dance-Comedy,102,Col
11,12,"[让娜·迪尔曼 Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles-香特尔·阿克曼](https://movie.douban.com/subject/1868933/)",[https://www.imdb.com/title/tt0073198/](https://www.imdb.com/title/https://www.imdb.com/title/tt0073198//),18521,"Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles",Chantal Akerman,1975,Belgium-France,Drama-Avant-Garde,201,Col
12,13,[现代启示录 Apocalypse Now-弗朗西斯·福特·科波拉](https://movie.douban.com/subject/1292260/),[https://www.imdb.com/title/tt0078788/](https://www.imdb.com/title/https://www.imdb.com/title/tt0078788//),13082,Apocalypse Now,Francis Ford Coppola,1979,USA,War-Drama-Adventure,150,Col
13,14,[出租车司机 Taxi Driver-马丁·斯科塞斯](https://movie.douban.com/subject/1292222/),[https://www.imdb.com/title/tt0075314/](https://www.imdb.com/title/https://www.imdb.com/title/tt0075314//),12567,Taxi Driver,Martin Scorsese,1976,USA,Drama-Crime,113,Col
14,15,[偷自行车的人 Ladri di biciclette-维托里奥·德西卡](https://movie.douban.com/subject/1295873/),[https://www.imdb.com/title/tt0040522/](https://www.imdb.com/title/https://www.imdb.com/title/tt0040522//),4377,Bicycle Thieves,Vittorio De Sica,1948,Italy,Drama,89,BW
15,16,[假面 Persona-英格玛·伯格曼](https://movie.douban.com/subject/1294438/),[https://www.imdb.com/title/tt0060827/](https://www.imdb.com/title/https://www.imdb.com/title/tt0060827//),9827,Persona,Ingmar Bergman,1966,Sweden,Drama,83,BW
16,17,[花样年华 花樣年華-王家卫](https://movie.douban.com/subject/1291557/),[https://www.imdb.com/title/tt0118694/](https://www.imdb.com/title/https://www.imdb.com/title/tt0118694//),20090,In the Mood for Love,Wong Kar-wai,2000,Hong Kong-France,Romance-Drama,97,Col
17,18,[圣女贞德蒙难记 La Passion de Jeanne d'Arc-卡尔·西奥多·德莱叶](https://movie.douban.com/subject/1293783/),[https://www.imdb.com/title/tt0019254/](https://www.imdb.com/title/https://www.imdb.com/title/tt0019254//),1167,"Passion of Joan of Arc, The",Carl Theodor Dreyer,1928,France,History-Drama-Biography,110,BW
18,19,[精疲力尽 À bout de souffle-让-吕克·戈达尔](https://movie.douban.com/subject/1353745/),[https://www.imdb.com/title/tt0053472/](https://www.imdb.com/title/https://www.imdb.com/title/tt0053472//),7764,Breathless,Jean-Luc Godard,1960,France,Romance-Drama-Crime,89,BW
19,20,[亚特兰大号 L'Atalante-让·维果](https://movie.douban.com/subject/1299433/),[https://www.imdb.com/title/tt0024844/](https://www.imdb.com/title/https://www.imdb.com/title/tt0024844//),839,"Atalante, L'",Jean Vigo,1934,France,Romance-Drama,89,BW
20,21,[战舰波将金号 Броненосец Потёмкин-谢尔盖·爱森斯坦](https://movie.douban.com/subject/1293492/),[https://www.imdb.com/title/tt0015648/](https://www.imdb.com/title/https://www.imdb.com/title/tt0015648//),1216,Battleship Potemkin,Sergei Eisenstein,1925,USSR,War-History,71,BW
21,22,[持摄影机的人 Человек с Киноаппаратом-吉加·维尔托夫](https://movie.douban.com/subject/1293199/),[https://www.imdb.com/title/tt0019760/](https://www.imdb.com/title/https://www.imdb.com/title/tt0019760//),18517,"Man with a Movie Camera, The",Dziga Vertov,1929,USSR,Documentary-Avant-Garde,80,BW
