Index,电影名,榜单数量,1999-香港《亚洲周刊》杂志,2002-香港电影评论学会,2005-香港电影金像奖,2005-中国电影资料馆,2005-南方都市报华语电影传媒大奖,2005-《看电影》杂志,2005-中国电影评论学会,2011-台湾电影金马奖,豆瓣电影,豆瓣ID,豆瓣年份,豆瓣打分,导演,类型,制片国家/地区,片长,IMDb-ID
0,"劳工之爱情/掷果缘 (1922, 张石川)",4,●,●, , ,●, ,●, ,劳工之爱情,[1466263](https://movie.douban.com/subject/1466263/),1922,8.1,张石川,喜剧/爱情/短片,中国大陆,22分钟,tt0013807
1,"孤儿救祖记 (1923, 张石川)",2, , , ,●, , ,●, ,孤儿救祖记,[2057408](https://movie.douban.com/subject/2057408/),1923,8.6,张石川,剧情,中国大陆,100分钟,tt18378592
2,"西厢记 (1927, 侯曜/黎民伟)",1, ,●, , , , , , ,西厢记,[1307843](https://movie.douban.com/subject/1307843/),1927,7.0,侯曜/黎民伟,剧情/爱情/古装,中国大陆,49 分钟(20 fps),tt0018600
3,"怕老婆/儿子英雄 (1929, 杨小仲)",1, ,●, , , , , , ,怕老婆,[4176568](https://movie.douban.com/subject/4176568/),1929,6.5,杨小仲,喜剧,中国大陆,112分钟,tt15662958
4,"恋爱与义务 戀愛與義務 (1931, 卜万苍)",2, ,●, , ,●, , , ,恋爱与义务 戀愛與義務,[1301249](https://movie.douban.com/subject/1301249/),1931,8.1,卜万苍,剧情/爱情,中国大陆,153分钟,tt0192239
6,"小玩意 (1933, 孙瑜)",6,●,●,70, , ,●, ,91,小玩意,[1298619](https://movie.douban.com/subject/1298619/),1933,8.0,孙瑜,剧情/战争,中国大陆,110分钟,tt0121890
5,"春蚕 (1933, 程步高)",3,●,●, , , , ,●, ,春蚕,[1304031](https://movie.douban.com/subject/1304031/),1933,6.8,程步高,剧情,中国大陆,94分钟,tt0191889
10,"体育皇后 體育皇后 (1934, 孙瑜)",1, ,●, , , , , , ,体育皇后 體育皇后,[1401924](https://movie.douban.com/subject/1401924/),1934,7.2,孙瑜,剧情,中国,85分钟,tt0438500
7,"大路 (1934, 孙瑜)",9,●,●,30,●,●,●,●,50,大路,[1307015](https://movie.douban.com/subject/1307015/),1934,7.8,孙瑜,剧情/喜剧/歌舞/战争,中国大陆,104 分钟(美国),tt0121180
12,"姊妹花 (1934, 郑正秋)",4,●, , ,●,●, ,●, ,姊妹花,[14072900](https://movie.douban.com/subject/14072900/),1934,7.1,郑正秋,剧情,中国大陆,110分钟,tt0209510
9,"桃李劫 (1934, 应云卫)",3, ,●, ,●, , ,●, ,桃李劫,[1307112](https://movie.douban.com/subject/1307112/),1934,7.7,应云卫,剧情/爱情,中国大陆,121分钟/105分钟,tt0227608
11,"渔光曲 漁光曲 (1934, 蔡楚生)",3,●, , ,●, , ,●, ,渔光曲 漁光曲,[2138404](https://movie.douban.com/subject/2138404/),1934,7.8,蔡楚生,剧情,中国大陆,约80分钟(原片)/56分钟(现存),tt1002784
8,"神女 (1934, 吴永刚)",9,●,●,29,●,●,●,●,23,神女,[1302210](https://movie.douban.com/subject/1302210/),1934,9.1,吴永刚,剧情,中国大陆,76分钟,tt0195256
15,"天伦 天倫 (1935, 罗明佑/费穆)",1, ,●, , , , , , ,天伦 天倫,[2055008](https://movie.douban.com/subject/2055008/),1935,7.0,罗明佑/费穆,剧情/家庭,中国大陆,65分钟(美国),tt0028281
16,"新女性 (1935, 蔡楚生)",1, , , , ,●, , , ,新女性,[1421676](https://movie.douban.com/subject/1421676/),1935,8.5,蔡楚生,剧情,中国大陆,106分钟,tt0477928
13,"都市风光 都市風光 (1935, 袁牧之)",1, ,●, , , , , , ,都市风光 都市風光,[2138427](https://movie.douban.com/subject/2138427/),1935,8.2,袁牧之,喜剧/爱情,中国大陆,99分钟,tt1003140
14,"风云儿女/凤凰的再生 (1935, 许幸之)",1, , , , , , ,●, ,风云儿女,[2138409](https://movie.douban.com/subject/2138409/),1935,7.4,许幸之,剧情,中国大陆,89分钟,tt1003142
