index,Cover 海报,Rank 排名,Title 电影,Director 导演,Score 打分,Year 年份,Region 地区,Genre 类型,Staff 人员
0,![1292052](https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg),1,[肖申克的救赎](https://movie.douban.com/subject/1292052/),弗兰克·德拉邦特 Frank Darabont,🌟9.70,1994,美国,犯罪 剧情,弗兰克·德拉邦特 Frank Darabont / 蒂姆·罗宾斯 Tim Robbins /...
1,![1291546](https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.jpg),2,[霸王别姬](https://movie.douban.com/subject/1291546/),陈凯歌 Kaige Chen,🌟9.60,1993,中国大陆 中国香港,剧情 爱情 同性,陈凯歌 Kaige Chen / 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...
2,![1292720](https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2372307693.jpg),3,[阿甘正传](https://movie.douban.com/subject/1292720/),罗伯特·泽米吉斯 Robert Zemeckis,🌟9.50,1994,美国,剧情 爱情,罗伯特·泽米吉斯 Robert Zemeckis / 汤姆·汉克斯 Tom Hanks / ...
3,![1292722](https://img9.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg),4,[泰坦尼克号](https://movie.douban.com/subject/1292722/),詹姆斯·卡梅隆 James Cameron,🌟9.50,1997,美国 墨西哥,剧情 爱情 灾难,詹姆斯·卡梅隆 James Cameron / 莱昂纳多·迪卡普里奥 Leonardo...
4,![1291561](https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg),5,[千与千寻](https://movie.douban.com/subject/1291561/),宫崎骏 Hayao Miyazaki,🌟9.40,2001,日本,剧情 动画 奇幻,宫崎骏 Hayao Miyazaki / 柊瑠美 Rumi Hîragi / 入野自由 Miy...
5,![1295644](https://img2.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg),6,[这个杀手不太冷](https://movie.douban.com/subject/1295644/),吕克·贝松 Luc Besson,🌟9.40,1994,法国 美国,剧情 动作 犯罪,吕克·贝松 Luc Besson / 让·雷诺 Jean Reno / 娜塔莉·波特曼 ...
6,![1292063](https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2578474613.jpg),7,[美丽人生](https://movie.douban.com/subject/1292063/),罗伯托·贝尼尼 Roberto Benigni,🌟9.50,1997,意大利,剧情 喜剧 爱情 战争,罗伯托·贝尼尼 Roberto Benigni / 罗伯托·贝尼尼 Roberto Beni...
7,![1889243](https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2614988097.jpg),8,[星际穿越](https://movie.douban.com/subject/1889243/),克里斯托弗·诺兰 Christopher Nolan,🌟9.40,2014,美国 英国 加拿大,剧情 科幻 冒险,克里斯托弗·诺兰 Christopher Nolan / 马修·麦康纳 Matthew Mc...
8,![3541415](https://img9.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg),9,[盗梦空间](https://movie.douban.com/subject/3541415/),克里斯托弗·诺兰 Christopher Nolan,🌟9.40,2010,美国 英国,剧情 科幻 悬疑 冒险,克里斯托弗·诺兰 Christopher Nolan / 莱昂纳多·迪卡普里奥 Le...
9,![1295124](https://img3.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg),10,[辛德勒的名单](https://movie.douban.com/subject/1295124/),史蒂文·斯皮尔伯格 Steven Spielberg,🌟9.50,1993,美国,剧情 历史 战争,史蒂文·斯皮尔伯格 Steven Spielberg / 连姆·尼森 Liam Neeson...
