index,Cover 海报,Rank 排名,Title 电影,Director 导演,Score 打分,Year 年份,Region 地区,Genre 类型,Staff 人员
0,![1200486](https://p0.pipi.cn/mmdb/d2dad59253751bd236338fa5bd5a27c710413.jpg?imageMogr2/thumbnail/2500x2500%3E),1,[我不是药神](https://www.maoyan.com/films/1200486), ,🌟9.60,2018, ,"剧情,喜剧","徐峥,周一围,王传君"
1,![1297](https://p0.pipi.cn/mmdb/fb7386020fa51b0fafcf3e2e3a0bbe694d17d.jpg?imageMogr2/thumbnail/2500x2500%3E),2,[肖申克的救赎](https://www.maoyan.com/films/1297), ,🌟9.50,1994, ,"剧情,犯罪","蒂姆·罗宾斯,摩根·弗里曼,鲍勃·冈顿"
2,![1292](https://p0.pipi.cn/mmdb/d2dad592c7e7e1d2365bf1b63cd25951b722b.jpg?imageMogr2/thumbnail/2500x2500%3E),3,[海上钢琴师](https://www.maoyan.com/films/1292), ,🌟9.30,2019, ,"剧情,音乐","蒂姆·罗斯,比尔·努恩 ,克兰伦斯·威廉姆斯三世"
3,![1206605](https://p0.pipi.cn/mmdb/d2dad59253751b230f21f0818a5bfd4d8679c.jpg?imageMogr2/thumbnail/2500x2500%3E),4,[绿皮书](https://www.maoyan.com/films/1206605), ,🌟9.50,2019, ,"剧情,喜剧,传记","维果·莫腾森,马赫沙拉·阿里,琳达·卡德里尼"
4,![1203](https://p0.pipi.cn/mmdb/fb7386beddd338537c8ea3bb80d25a9078b13.jpg?imageMogr2/thumbnail/2500x2500%3E),5,[霸王别姬](https://www.maoyan.com/films/1203), ,🌟9.40,1993, ,"剧情,爱情","张国荣,张丰毅,巩俐"
5,![1303](https://p0.pipi.cn/mmdb/d2dad592c7e7e1d2367a3507befaed31a5903.jpg?imageMogr2/thumbnail/2500x2500%3E),6,[美丽人生](https://www.maoyan.com/films/1303), ,🌟9.30,2020, ,"战争,剧情,爱情","罗伯托·贝尼尼,朱斯蒂诺·杜拉诺,赛尔乔·比尼·布斯特里克"
6,![4055](https://p0.pipi.cn/mmdb/d2dad592c7e7e13ba3ddd25677b4d70fc45fa.jpg?imageMogr2/thumbnail/2500x2500%3E),7,[这个杀手不太冷](https://www.maoyan.com/films/4055), ,🌟9.40,1994, ,"剧情,动作,犯罪","让·雷诺,加里·奥德曼,娜塔莉·波特曼"
7,![78341](https://p0.pipi.cn/mmdb/d2dad592b125bfc9fd300b8a46169f8008efb.jpg?imageMogr2/thumbnail/2500x2500%3E),8,[星际穿越](https://www.maoyan.com/films/78341), ,🌟9.30,2014, ,"剧情,科幻,冒险","马修·麦康纳,安妮·海瑟薇,杰西卡·查斯坦"
8,![1216365](https://p0.pipi.cn/mmdb/d2dad5925372ffd7c387a9d01bddad81625c3.jpg?imageMogr2/thumbnail/2500x2500%3E),9,[小偷家族](https://www.maoyan.com/films/1216365), ,🌟8.10,2018, ,"剧情,犯罪","中川雅也,安藤樱,松冈茉优"
9,![46818](https://p0.pipi.cn/mmdb/d2dad592b122ff8d3387a93ccab6036f616c1.jpg?imageMogr2/thumbnail/2500x2500%3E),10,[怦然心动](https://www.maoyan.com/films/46818), ,🌟8.90,2010, ,"剧情,喜剧,爱情","玛德琳·卡罗尔,卡兰·麦克奥利菲,艾丹·奎因"
10,![416](https://p0.pipi.cn/mmdb/fb7386510fa2ffd7c3e19bcb2e6ea4dc44460.jpg?imageMogr2/thumbnail/2500x2500%3E),11,[盗梦空间](https://www.maoyan.com/films/416), ,🌟9.00,2010, ,"动作,悬疑,惊悚,科幻","莱昂纳多·迪卡普里奥,渡边谦,约瑟夫·高登-莱维特"
11,![267](https://p0.pipi.cn/mmdb/fb73869af2a51b339e537c802afb40db7a7fe.jpg?imageMogr2/thumbnail/2500x2500%3E),12,[泰坦尼克号](https://www.maoyan.com/films/267), ,🌟9.60,1998, ,"剧情,爱情,灾难","莱昂纳多·迪卡普里奥,凯特·温丝莱特,比利·赞恩"
12,![1211270](https://p0.pipi.cn/mmdb/d2dad592537923f0ee07acada3ac59b9f3ffb.jpg?imageMogr2/thumbnail/2500x2500%3E),13,[哪吒之魔童降世](https://www.maoyan.com/films/1211270), ,🌟9.60,2019, ,动画,"吕艳婷,囧森瑟夫,瀚墨"
13,![1633](https://p0.pipi.cn/mmdb/d2dad592c7e7e1cbaeb53576d1b09602884b4.jpg?imageMogr2/thumbnail/2500x2500%3E),14,[阿甘正传](https://www.maoyan.com/films/1633), ,🌟9.40,1994, ,"剧情,爱情","汤姆·汉克斯,罗宾·怀特,加里·西尼斯"
14,![1304](https://p0.pipi.cn/mmdb/d2dad592c7e7e1d236b535e993774e3bc0268.jpg?imageMogr2/thumbnail/2500x2500%3E),15,[楚门的世界](https://www.maoyan.com/films/1304), ,🌟8.90,1998, ,"剧情,科幻","金·凯瑞,劳拉·琳妮,诺亚·艾默里奇"
15,![1212](https://p0.pipi.cn/mmdb/d2dad592c7e7e1d236ddd2bcc439d544928aa.jpg?imageMogr2/thumbnail/2500x2500%3E),16,[千与千寻](https://www.maoyan.com/films/1212), ,🌟9.30,2019, ,"动画,冒险,奇幻,家庭","柊瑠美,周冬雨,井柏然"
16,![70976](https://p0.pipi.cn/mmdb/d2dad592b125bf0e1371f79c86f28a6ebe751.jpg?imageMogr2/thumbnail/2500x2500%3E),17,[触不可及](https://www.maoyan.com/films/70976), ,🌟9.10,2011, ,"剧情,喜剧","弗朗索瓦·克鲁塞,奥马·希,安娜·勒尼"
17,![342068](https://p0.pipi.cn/mmdb/d2dad5927e10fa5bf1c6965cde0f9caa906e5.jpg?imageMogr2/thumbnail/2500x2500%3E),18,[寻梦环游记](https://www.maoyan.com/films/342068), ,🌟9.60,2017, ,"动作,动画,冒险","安东尼·冈萨雷斯,本杰明·布拉特,盖尔·加西亚·贝纳尔"
18,![3667](https://p0.pipi.cn/mmdb/d2dad592c7e7e107ac2ff71cc74420258e502.jpg?imageMogr2/thumbnail/2500x2500%3E),19,[辛德勒的名单](https://www.maoyan.com/films/3667), ,🌟9.20,1993, ,"剧情,历史,战争","连姆·尼森,拉尔夫·费因斯,本·金斯利"
19,![1319](https://p0.pipi.cn/mmdb/d2dad592c7e7e1d23611e5b36d845b560a81c.jpg?imageMogr2/thumbnail/2500x2500%3E),20,[情书](https://www.maoyan.com/films/1319), ,🌟8.90,1999, ,"剧情,爱情","中山美穗,丰川悦司,酒井美纪"
20,![995](https://p0.pipi.cn/mmdb/d2dad592c7e7e1ecd8b5352321a661031cdb4.jpg?imageMogr2/thumbnail/2500x2500%3E),21,[少年派的奇幻漂流](https://www.maoyan.com/films/995), ,🌟9.00,2012, ,"剧情,奇幻,冒险","苏拉·沙玛,伊尔凡·可汗,塔布"
21,![1218727](https://p0.pipi.cn/mmdb/d2dad5925372ff7e12be128f63618829dff25.jpg?imageMogr2/thumbnail/2500x2500%3E),22,[何以为家](https://www.maoyan.com/films/1218727), ,🌟9.30,2019, ,剧情,"赞恩·阿尔·拉菲亚,约丹诺斯·希费罗,博鲁瓦蒂夫·特雷杰·班科尔"
22,![588362](https://p0.pipi.cn/mmdb/d2dad592e7a0e1537c3139c28ec3b5def86ae.jpg?imageMogr2/thumbnail/2500x2500%3E),23,[摔跤吧！爸爸](https://www.maoyan.com/films/588362), ,🌟9.80,2017, ,"喜剧,动作,传记,剧情","阿米尔·汗,沙克希·坦沃,法缇玛·萨那·纱卡"
23,![38286](https://p0.pipi.cn/mmdb/d2dad592b1292339dd3ba33d59455219d179e.jpg?imageMogr2/thumbnail/2500x2500%3E),24,[忠犬八公的故事](https://www.maoyan.com/films/38286), ,🌟9.30,2009, ,剧情,"Forest,理查·基尔,琼·艾伦"
24,![1205](https://p0.pipi.cn/mmdb/25bfd6927a37e1d23c92359b8bc611a4cd8a2.jpg?imageMogr2/thumbnail/2500x2500%3E),25,[放牛班的春天](https://www.maoyan.com/films/1205), ,🌟9.50,2004, ,"剧情,音乐","热拉尔·朱诺,弗朗西斯·贝尔兰德,凯德·麦拉德"
25,![1215201](https://p0.pipi.cn/mmdb/d2dad592537923d23c030cd4e3674a1227733.jpg?imageMogr2/thumbnail/2500x2500%3E),26,[小丑](https://www.maoyan.com/films/1215201), ,🌟8.60,2019, ,"剧情,惊悚,犯罪","杰昆·菲尼克斯,罗伯特·德尼罗,亚历克·鲍德温"
26,![899](https://p0.pipi.cn/mmdb/d2dad592c7e7e111e51789a5566c623326832.jpg?imageMogr2/thumbnail/2500x2500%3E),27,[当幸福来敲门](https://www.maoyan.com/films/899), ,🌟9.30,2008, ,"剧情,家庭,传记","威尔·史密斯,贾登·史密斯,坦迪·牛顿"
27,![1204](https://p0.pipi.cn/mmdb/d2dad592c7e7e1d236339e301cab7bb7be389.jpg?imageMogr2/thumbnail/2500x2500%3E),28,[死亡诗社](https://www.maoyan.com/films/1204), ,🌟8.70,1989, ,剧情,"罗宾·威廉姆斯,伊桑·霍克,罗伯特·肖恩·莱纳德"
28,![458721](https://p0.pipi.cn/mmdb/d2dad59206df2a338fc9fd676f3efadd31ea1.jpg?imageMogr2/thumbnail/2500x2500%3E),29,[看不见的客人](https://www.maoyan.com/films/458721), ,🌟9.40,2017, ,"犯罪,悬疑,惊悚","马里奥·卡萨斯,阿娜·瓦格纳,何塞·卡罗纳多"
29,![43](https://p0.pipi.cn/mmdb/d2dad592c7e7e1537c21f0af64bd3585038d7.jpg?imageMogr2/thumbnail/2500x2500%3E),30,[三傻大闹宝莱坞](https://www.maoyan.com/films/43), ,🌟9.10,2011, ,"剧情,喜剧,冒险","阿米尔·汗,卡琳娜·卡普,马德哈万"
30,![718](https://p0.pipi.cn/mmdb/d2dad592c7e7e12c95e5bc932c06e07c8fb88.jpg?imageMogr2/thumbnail/2500x2500%3E),31,[天堂电影院](https://www.maoyan.com/films/718), ,🌟9.30,2021, ,"剧情,爱情","菲利浦·诺瓦雷,雅克·贝汉,马克·莱昂纳蒂"
31,![67214](https://p0.pipi.cn/mmdb/d2dad592b122ff7a357df5d2476a1d41663e0.jpg?imageMogr2/thumbnail/2500x2500%3E),32,[熔炉](https://www.maoyan.com/films/67214), ,🌟8.80,2011, ,剧情,"孔刘,郑裕美,金智英"
