Index,Cover 海报,Rank 排名,Title 电影,Director 导演,Score 打分,Year 年份,Region 地区,Genre 类型,Staff 人员
0,![12231](http://img5.mtime.cn/mt/2020/06/04/161609.43043291_o.jpg),1,[肖申克的救赎](http://movie.mtime.com/12231),弗兰克·德拉邦特,🌟9.20,1994.0,美国, ,弗兰克·德拉邦特 / 蒂姆·罗宾斯
1,![10054](http://img5.mtime.cn/img3x/mt/2014/06/17/145457.44209161_o.jpg),2,[阿甘正传](http://movie.mtime.com/10054),罗伯特·泽米吉斯,🌟9.10,1994.0,美国, ,罗伯特·泽米吉斯 / 汤姆·汉克斯
2,![12281](http://img5.mtime.cn/mt/2020/06/04/162559.35265985_o.jpg),3,[辛德勒的名单](http://movie.mtime.com/12281),史蒂文·斯皮尔伯格,🌟9.10,1993.0,美国, ,史蒂文·斯皮尔伯格 / 连姆·尼森
3,![98604](http://img5.mtime.cn/img3x/mt/2016/07/28/145303.88789702_o.jpg),4,[海豚湾](http://movie.mtime.com/98604),路易·西霍尤斯,🌟9.10,2009.0,美国, ,路易·西霍尤斯 / 里克·奥巴瑞
4,![99547](http://img5.mtime.cn/mt/2020/08/06/163756.17081814_o.jpg),5,[盗梦空间](http://movie.mtime.com/99547),克里斯托弗·诺兰,🌟9.10,2020.0,美国, ,克里斯托弗·诺兰 / 莱昂纳多·迪卡普里奥
5,![10190](http://img5.mtime.cn/mt/2020/02/17/093807.22415163_o.jpg),6,[霸王别姬](http://movie.mtime.com/10190),陈凯歌,🌟9.00,1993.0,中国, ,陈凯歌 / 张国荣
6,![10968](http://img5.mtime.cn/img3x/mt/2013/12/23/133539.17727433_o.jpg),7,[教父](http://movie.mtime.com/10968),弗朗西斯·福特·科波拉,🌟9.00,1972.0,美国, ,弗朗西斯·福特·科波拉 / 马龙·白兰度
7,![11234](http://img5.mtime.cn/img3x/mt/2013/11/08/145957.19577928_o.jpg),8,[乱世佳人](http://movie.mtime.com/11234),维克多·弗莱明,🌟9.00,1939.0,美国, ,维克多·弗莱明 / 费雯·丽
8,![11982](http://img5.mtime.cn/img3x/mt/2014/02/22/230204.38226096_o.jpg),9,[天堂电影院](http://movie.mtime.com/11982),朱塞佩·托纳多雷,🌟9.00,1988.0,意大利, ,朱塞佩·托纳多雷 / 菲利浦·诺瓦雷
9,![12599](http://img5.mtime.cn/img3x/mt/2014/09/12/102734.13658001_o.jpg),10,[这个杀手不太冷](http://movie.mtime.com/12599),吕克·贝松,🌟9.00,1994.0,法国, ,吕克·贝松 / 让·雷诺
