index,Cover 海报,Rank 排名,Title 电影,Director 导演,Score 打分,Year 年份,Region 地区,Genre 类型,Staff 人员
0,![278](https://media.themoviedb.org/t/p/w220_and_h330_face/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg),1,[The Shawshank Redemption](https://www.themoviedb.org/movie/278), ,🌟87.05,1994, , , 
1,![238](https://media.themoviedb.org/t/p/w220_and_h330_face/3bhkrj58Vtu7enYsRolD1fZdja1.jpg),2,[The Godfather](https://www.themoviedb.org/movie/238), ,🌟86.95,1972, , , 
2,![240](https://media.themoviedb.org/t/p/w220_and_h330_face/hek3koDUyRQk7FIhPXsa6mT2Zc3.jpg),3,[The Godfather Part II](https://www.themoviedb.org/movie/240), ,🌟85.76,1974, , , 
3,![424](https://media.themoviedb.org/t/p/w220_and_h330_face/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg),4,[Schindler's List](https://www.themoviedb.org/movie/424), ,🌟85.67,1993, , , 
4,![389](https://media.themoviedb.org/t/p/w220_and_h330_face/ow3wq89wM8qd5X7hWKxiRfsFf9C.jpg),5,[12 Angry Men](https://www.themoviedb.org/movie/389), ,🌟85.41,1957, , , 
5,![129](https://media.themoviedb.org/t/p/w220_and_h330_face/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg),6,[Spirited Away](https://www.themoviedb.org/movie/129), ,🌟85.41,2001, , , 
6,![19404](https://media.themoviedb.org/t/p/w220_and_h330_face/lfRkUr7DYdHldAqi3PwdQGBRBPM.jpg),7,[Dilwale Dulhania Le Jayenge](https://www.themoviedb.org/movie/19404), ,🌟85.00,1995, , , 
7,![155](https://media.themoviedb.org/t/p/w220_and_h330_face/qJ2tW6WMUDux911r6m7haRef0WH.jpg),8,[The Dark Knight](https://www.themoviedb.org/movie/155), ,🌟85.15,2008, , , 
8,![496243](https://media.themoviedb.org/t/p/w220_and_h330_face/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg),9,[Parasite](https://www.themoviedb.org/movie/496243), ,🌟85.11,2019, , , 
9,![497](https://media.themoviedb.org/t/p/w220_and_h330_face/8VG8fDNiy50H4FedGwdSVUPoaJe.jpg),10,[The Green Mile](https://www.themoviedb.org/movie/497), ,🌟85.07,1999, , , 
10,![372058](https://media.themoviedb.org/t/p/w220_and_h330_face/q719jXXEzOoYaps6babgKnONONX.jpg),11,[Your Name.](https://www.themoviedb.org/movie/372058), ,🌟84.98,2016, , , 
11,![680](https://media.themoviedb.org/t/p/w220_and_h330_face/d5iIlFn5s0ImszYzBPb8JPIfbXD.jpg),12,[Pulp Fiction](https://www.themoviedb.org/movie/680), ,🌟84.89,1994, , , 
12,![122](https://media.themoviedb.org/t/p/w220_and_h330_face/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg),13,[The Lord of the Rings: The Return of the King](https://www.themoviedb.org/movie/122), ,🌟84.78,2003, , , 
13,![13](https://media.themoviedb.org/t/p/w220_and_h330_face/arw2vcBveWOVZr6pxd9XTd1TdQa.jpg),14,[Forrest Gump](https://www.themoviedb.org/movie/13), ,🌟84.77,1994, , , 
14,![664280](https://media.themoviedb.org/t/p/w220_and_h330_face/zSKwyUDKDHiFU5syTTvQRDcGBPS.jpg),15,[David Attenborough: A Life on Our Planet](https://www.themoviedb.org/movie/664280), ,🌟84.75,2020, , , 
15,![429](https://media.themoviedb.org/t/p/w220_and_h330_face/bX2xnavhMYjWDoZp1VM6VnU1xwe.jpg),16,"[The Good, the Bad and the Ugly](https://www.themoviedb.org/movie/429)", ,🌟85.00,1966, , , 
16,![769](https://media.themoviedb.org/t/p/w220_and_h330_face/aKuFiU82s5ISJpGZp7YkIr3kCUd.jpg),17,[GoodFellas](https://www.themoviedb.org/movie/769), ,🌟84.67,1990, , , 
17,![12477](https://media.themoviedb.org/t/p/w220_and_h330_face/k9tv1rXZbOhH7eiCk378x61kNQ1.jpg),18,[Grave of the Fireflies](https://www.themoviedb.org/movie/12477), ,🌟84.64,1988, , , 
18,![11216](https://media.themoviedb.org/t/p/w220_and_h330_face/8SRUfRUi6x4O68n0VCbDNRa6iGL.jpg),19,[Cinema Paradiso](https://www.themoviedb.org/movie/11216), ,🌟85.00,1988, , , 
19,![346](https://media.themoviedb.org/t/p/w220_and_h330_face/8OKmBV5BUFzmozIC3pPWKHy17kx.jpg),20,[Seven Samurai](https://www.themoviedb.org/movie/346), ,🌟84.55,1954, , , 
20,![637](https://media.themoviedb.org/t/p/w220_and_h330_face/74hLDKjD5aGYOotO6esUVaeISa2.jpg),21,[Life Is Beautiful](https://www.themoviedb.org/movie/637), ,🌟84.53,1997, , , 
21,![372754](https://media.themoviedb.org/t/p/w220_and_h330_face/cIfRCA5wEvj9tApca4UDUagQEiM.jpg),22,[Dou kyu sei – Classmates](https://www.themoviedb.org/movie/372754), ,🌟84.00,2016, , , 
22,![550](https://media.themoviedb.org/t/p/w220_and_h330_face/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg),23,[Fight Club](https://www.themoviedb.org/movie/550), ,🌟84.41,1999, , , 
23,![539](https://media.themoviedb.org/t/p/w220_and_h330_face/yz4QVqPx3h1hD1DfqqQkCq3rmxW.jpg),24,[Psycho](https://www.themoviedb.org/movie/539), ,🌟84.35,1960, , , 
24,![598](https://media.themoviedb.org/t/p/w220_and_h330_face/k7eYdWvhYQyRQoU2TB2A2Xu2TfD.jpg),25,[City of God](https://www.themoviedb.org/movie/598), ,🌟84.34,2002, , , 
25,![1058694](https://media.themoviedb.org/t/p/w220_and_h330_face/eSatbygYZp8ooprBHZdb6GFZxGB.jpg),26,[Radical](https://www.themoviedb.org/movie/1058694), ,🌟84.00,2023, , , 
26,![704264](https://media.themoviedb.org/t/p/w220_and_h330_face/9NBBkdxH0TjQEBSN2AzeE1sgsF9.jpg),27,[Primal: Tales of Savagery](https://www.themoviedb.org/movie/704264), ,🌟84.00,2019, , , 
27,![157336](https://media.themoviedb.org/t/p/w220_and_h330_face/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg),28,[Interstellar](https://www.themoviedb.org/movie/157336), ,🌟84.31,2014, , , 
28,![696374](https://media.themoviedb.org/t/p/w220_and_h330_face/oyG9TL7FcRP4EZ9Vid6uKzwdndz.jpg),29,[Gabriel's Inferno](https://www.themoviedb.org/movie/696374), ,🌟84.00,2020, , , 
29,![667257](https://media.themoviedb.org/t/p/w220_and_h330_face/t2Ew8NZ8Ci2kqmoecZUNQUFDJnQ.jpg),30,[Impossible Things](https://www.themoviedb.org/movie/667257), ,🌟84.25,2021, , , 
30,![311](https://media.themoviedb.org/t/p/w220_and_h330_face/i0enkzsL5dPeneWnjl1fCWm6L7k.jpg),31,[Once Upon a Time in America](https://www.themoviedb.org/movie/311), ,🌟84.25,1984, , , 
31,![510](https://media.themoviedb.org/t/p/w220_and_h330_face/3jcbDmRFiQ83drXNOvRDeKHxS0C.jpg),32,[One Flew Over the Cuckoo's Nest](https://www.themoviedb.org/movie/510), ,🌟84.23,1975, , , 
32,![611291](https://media.themoviedb.org/t/p/w220_and_h330_face/7x5CguA0MxHqbSjhi14UEuK7c95.jpg),33,[Bring the Soul: The Movie](https://www.themoviedb.org/movie/611291), ,🌟84.00,2019, , , 
33,![724089](https://media.themoviedb.org/t/p/w220_and_h330_face/x5o8cLZfEXMoZczTYWLrUo1P7UJ.jpg),34,[Gabriel's Inferno: Part II](https://www.themoviedb.org/movie/724089), ,🌟84.00,2020, , , 
34,![120](https://media.themoviedb.org/t/p/w220_and_h330_face/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg),35,[The Lord of the Rings: The Fellowship of the Ring](https://www.themoviedb.org/movie/120), ,🌟84.11,2001, , , 
35,![4935](https://media.themoviedb.org/t/p/w220_and_h330_face/6pZgH10jhpToPcf0uvyTCPFhWpI.jpg),36,[Howl's Moving Castle](https://www.themoviedb.org/movie/4935), ,🌟84.09,2004, , , 
36,![568332](https://media.themoviedb.org/t/p/w220_and_h330_face/u6oXUTtOuJRPdUgUuPAVVJPSKCo.jpg),37,[Taylor Swift: Reputation Stadium Tour](https://www.themoviedb.org/movie/568332), ,🌟84.03,2018, , , 
37,![324857](https://media.themoviedb.org/t/p/w220_and_h330_face/iiZZdoQBEYBv6id8su7ImL0oCbD.jpg),38,[Spider-Man: Into the Spider-Verse](https://www.themoviedb.org/movie/324857), ,🌟84.05,2018, , , 
38,![255709](https://media.themoviedb.org/t/p/w220_and_h330_face/x9yjkm9gIz5qI5fJMUTfBnWiB2o.jpg),39,[Hope](https://www.themoviedb.org/movie/255709), ,🌟84.00,2013, , , 
