Group 分类,Rank 排名,Title 电影,ID 豆瓣,Score 打分,Staff 人员,Genre 类型
豆瓣2014评分最高的外语电影,1,星际穿越,[1889243](https://movie.douban.com/subject/1889243/),9.4,导演：克里斯托弗·诺兰,类型：剧情 科幻 冒险
豆瓣2014评分最高的外语电影,2,消失的爱人,[21318488](https://movie.douban.com/subject/21318488/),8.7,导演：大卫·芬奇,类型：剧情 犯罪 悬疑 惊悚
豆瓣2014评分最高的外语电影,3,布达佩斯大饭店,[11525673](https://movie.douban.com/subject/11525673/),8.9,导演：韦斯·安德森,类型：剧情 喜剧 冒险
豆瓣2014评分最高的外语电影,4,达拉斯买家俱乐部,[1793929](https://movie.douban.com/subject/1793929/),8.8,导演：让-马克·瓦雷,类型：剧情 传记 同性
豆瓣2014评分最高的外语电影,5,少年时代,[2209575](https://movie.douban.com/subject/2209575/),8.5,导演：理查德·林克莱特,类型：剧情 家庭
豆瓣2014评分最高的外语电影,6,内布拉斯加,[6538833](https://movie.douban.com/subject/6538833/),8.6,导演：亚历山大·佩恩,类型：剧情 喜剧 家庭
豆瓣2014评分最高的外语电影,7,X战警：逆转未来,[10485647](https://movie.douban.com/subject/10485647/),8.2,导演：布莱恩·辛格,类型：剧情 动作 科幻 冒险
豆瓣2014评分最高的外语电影,8,她,[6722879](https://movie.douban.com/subject/6722879/),8.4,导演：斯派克·琼斯,类型：剧情 爱情 科幻
豆瓣2014评分最高的外语电影,9,再次出发之纽约遇见你,[6874403](https://movie.douban.com/subject/6874403/),8.6,导演：约翰·卡尼,类型：喜剧 爱情 音乐
豆瓣2014评分最高的外语电影,10,白日梦想家,[2133323](https://movie.douban.com/subject/2133323/),8.6,导演：本·斯蒂勒,类型：剧情 喜剧 冒险
 , , , , , , 
豆瓣2014评分最高的华语电影,1,亲爱的,[25798222](https://movie.douban.com/subject/25798222/),8.4,导演：陈可辛,类型：剧情 家庭
豆瓣2014评分最高的华语电影,2,智取威虎山,[10807909](https://movie.douban.com/subject/10807909/),7.7,导演：徐克,类型：剧情 动作 战争 冒险
豆瓣2014评分最高的华语电影,3,推拿,[20020577](https://movie.douban.com/subject/20020577/),8.0,导演：娄烨,类型：剧情
豆瓣2014评分最高的华语电影,4,天注定,[21941283](https://movie.douban.com/subject/21941283/),8.3,导演：贾樟柯,类型：剧情 犯罪
豆瓣2014评分最高的华语电影,5,催眠大师,[24743711](https://movie.douban.com/subject/24743711/),7.6,导演：陈正道,类型：悬疑 惊悚
豆瓣2014评分最高的华语电影,6,归来,[21352814](https://movie.douban.com/subject/21352814/),8.1,导演：张艺谋,类型：剧情 历史 爱情
豆瓣2014评分最高的华语电影,7,绣春刀,[24745500](https://movie.douban.com/subject/24745500/),7.7,导演：路阳,类型：剧情 动作 武侠 古装
豆瓣2014评分最高的华语电影,8,后会无期,[25805741](https://movie.douban.com/subject/25805741/),7.2,导演：韩寒,类型：剧情
豆瓣2014评分最高的华语电影,9,白日焰火,[21941804](https://movie.douban.com/subject/21941804/),7.6,导演：刁亦男,类型：剧情 犯罪 悬疑
豆瓣2014评分最高的华语电影,10,郊游,[10771216](https://movie.douban.com/subject/10771216/),7.2,导演：蔡明亮,类型：剧情 家庭
 , , , , , , 
豆瓣2014最受关注的院线电影,1,后会无期,[25805741](https://movie.douban.com/subject/25805741/),7.2,导演：韩寒,类型：剧情
豆瓣2014最受关注的院线电影,2,星际穿越,[1889243](https://movie.douban.com/subject/1889243/),9.4,导演：克里斯托弗·诺兰,类型：剧情 科幻 冒险
豆瓣2014最受关注的院线电影,3,X战警：逆转未来,[10485647](https://movie.douban.com/subject/10485647/),8.2,导演：布莱恩·辛格,类型：剧情 动作 科幻 冒险
豆瓣2014最受关注的院线电影,4,变形金刚4：绝迹重生,[7054604](https://movie.douban.com/subject/7054604/),6.7,导演：迈克尔·贝,类型：动作 科幻 冒险
豆瓣2014最受关注的院线电影,5,美国队长2,[6390823](https://movie.douban.com/subject/6390823/),8.0,导演：安东尼·罗素 乔·罗素,类型：动作 科幻 惊悚 冒险
豆瓣2014最受关注的院线电影,6,心花路放,[25717233](https://movie.douban.com/subject/25717233/),7.2,导演：宁浩,类型：喜剧 爱情
豆瓣2014最受关注的院线电影,7,明日边缘,[4746257](https://movie.douban.com/subject/4746257/),8.2,导演：道格·里曼,类型：动作 科幻
豆瓣2014最受关注的院线电影,8,催眠大师,[24743711](https://movie.douban.com/subject/24743711/),7.6,导演：陈正道,类型：悬疑 惊悚
豆瓣2014最受关注的院线电影,9,银河护卫队,[7065154](https://movie.douban.com/subject/7065154/),8.1,导演：詹姆斯·古恩,类型：动作 科幻 冒险
豆瓣2014最受关注的院线电影,10,归来,[21352814](https://movie.douban.com/subject/21352814/),8.1,导演：张艺谋,类型：剧情 历史 爱情
 , , , , , , 
豆瓣2014最受关注的非院线电影,1,布达佩斯大饭店,[11525673](https://movie.douban.com/subject/11525673/),8.9,导演：韦斯·安德森,类型：剧情 喜剧 冒险
