Group 分类,Rank 排名,Title 电影,ID 豆瓣,Score 打分,Staff 人员,Region 地区
豆瓣2015评分最高的|外语电影,1,荒蛮故事 / Relatos salvajes,[24750126](https://movie.douban.com/subject/24750126/),8.8,达米安·斯兹弗隆 / 达里奥·格兰迪内蒂 / 玛丽娅·玛努尔,阿根廷 西班牙
豆瓣2015评分最高的|外语电影,2,卡罗尔 / Carol,[10757577](https://movie.douban.com/subject/10757577/),8.4,托德·海因斯 / 凯特·布兰切特 / 鲁妮·玛拉,英国 美国
豆瓣2015评分最高的|外语电影,3,王牌特工：特工学院 / Kingsman: The Secret Service,[24405378](https://movie.douban.com/subject/24405378/),8.4,马修·沃恩 / 塔伦·埃哲顿 / 科林·费尔斯,英国 美国
豆瓣2015评分最高的|外语电影,4,小萝莉的猴神大叔 / Bajrangi Bhaijaan,[26393561](https://movie.douban.com/subject/26393561/),8.4,卡比尔·汗 / 萨尔曼·汗 / 哈莎莉·马洛特拉,印度
豆瓣2015评分最高的|外语电影,5,疯狂的麦克斯4：狂暴之路 / Mad Max: Fury Road,[3592854](https://movie.douban.com/subject/3592854/),8.7,乔治·米勒 / 汤姆·哈迪 / 查理兹·塞隆,澳大利亚 美国
豆瓣2015评分最高的|外语电影,6,火星救援 / The Martian,[25864085](https://movie.douban.com/subject/25864085/),8.5,雷德利·斯科特 / 马特·达蒙 / 杰西卡·查斯坦,英国 美国 匈牙利 约旦
豆瓣2015评分最高的|外语电影,7,速度与激情7 / Furious 7,[23761370](https://movie.douban.com/subject/23761370/),8.4,温子仁 / 范·迪塞尔 / 保罗·沃克,美国 中国大陆 日本
豆瓣2015评分最高的|外语电影,8,罪恶之家 / An Inspector Calls,[25955491](https://movie.douban.com/subject/25955491/),8.3,艾斯林·沃什 / 大卫·休里斯 / 米兰达·理查森,英国
豆瓣2015评分最高的|外语电影,9,年轻气盛 / Youth,[25766754](https://movie.douban.com/subject/25766754/),8.2,保罗·索伦蒂诺 / 迈克尔·凯恩 / 保罗·达诺,意大利 法国 瑞士 英国
豆瓣2015评分最高的|外语电影,10,"如晴天，似雨天 / Like Sunday, Like Rain",[25738406](https://movie.douban.com/subject/25738406/),8.3,弗兰克·威利 / 朱利安·夏特金 / 莉顿·梅斯特,美国
 , , , , , , 
豆瓣2015评分最高的|华语电影,1,心迷宫,[25917973](https://movie.douban.com/subject/25917973/),8.7,忻钰坤 / 霍卫民 / 王笑天,中国大陆
豆瓣2015评分最高的|华语电影,2,老炮儿,[24751756](https://movie.douban.com/subject/24751756/),7.5,管虎 / 冯小刚 / 许晴,中国大陆
豆瓣2015评分最高的|华语电影,3,师父,[25919910](https://movie.douban.com/subject/25919910/),8.2,徐浩峰 / 廖凡 / 宋佳,中国大陆
豆瓣2015评分最高的|华语电影,4,我的少女时代 / 我的少女時代,[26366465](https://movie.douban.com/subject/26366465/),7.8,陈玉珊 / 宋芸桦 / 王大陆,中国台湾
豆瓣2015评分最高的|华语电影,5,十二公民,[24875534](https://movie.douban.com/subject/24875534/),8.4,徐昂 / 何冰 / 韩童生,中国大陆
豆瓣2015评分最高的|华语电影,6,山河故人,[25890005](https://movie.douban.com/subject/25890005/),8.1,贾樟柯 / 赵涛 / 张译,中国大陆 法国 日本
豆瓣2015评分最高的|华语电影,7,解救吾先生,[25798448](https://movie.douban.com/subject/25798448/),7.7,丁晟 / 刘德华 / 刘烨,中国大陆
豆瓣2015评分最高的|华语电影,8,烈日灼心,[24719063](https://movie.douban.com/subject/24719063/),8.3,曹保平 / 邓超 / 段奕宏,中国大陆
豆瓣2015评分最高的|华语电影,9,一个勺子,[25926267](https://movie.douban.com/subject/25926267/),7.7,陈建斌 / 陈建斌 / 蒋勤勤,中国大陆
豆瓣2015评分最高的|华语电影,10,闯入者,[20514902](https://movie.douban.com/subject/20514902/),7.6,王小帅 / 吕中 / 冯远征,中国大陆
 , , , , , , 
豆瓣2015最受关注的|院线电影,1,西游记之大圣归来,[26277313](https://movie.douban.com/subject/26277313/),8.3,田晓鹏 / 张磊 / 林子杰,中国大陆
豆瓣2015最受关注的|院线电影,2,王牌特工：特工学院 / Kingsman: The Secret Service,[24405378](https://movie.douban.com/subject/24405378/),8.4,马修·沃恩 / 塔伦·埃哲顿 / 科林·费尔斯,英国 美国
豆瓣2015最受关注的|院线电影,3,夏洛特烦恼,[25964071](https://movie.douban.com/subject/25964071/),7.8,闫非 / 沈腾 / 马丽,中国大陆
豆瓣2015最受关注的|院线电影,4,速度与激情7 / Furious 7,[23761370](https://movie.douban.com/subject/23761370/),8.4,温子仁 / 范·迪塞尔 / 保罗·沃克,美国 中国大陆 日本
豆瓣2015最受关注的|院线电影,5,捉妖记,[25723907](https://movie.douban.com/subject/25723907/),6.7,许诚毅 / 白百何 / 井柏然,中国大陆 中国香港
豆瓣2015最受关注的|院线电影,6,侏罗纪世界 / Jurassic World,[10440138](https://movie.douban.com/subject/10440138/),7.7,科林·特莱沃若 / 克里斯·帕拉特 / 布莱丝·达拉斯·霍华德,美国
豆瓣2015最受关注的|院线电影,7,复仇者联盟2：奥创纪元 / Avengers: Age of Ultron,[10741834](https://movie.douban.com/subject/10741834/),7.5,乔斯·韦登 / 小罗伯特·唐尼 / 克里斯·海姆斯沃斯,美国
豆瓣2015最受关注的|院线电影,8,煎饼侠,[25895276](https://movie.douban.com/subject/25895276/),5.8,大鹏 / 大鹏 / 袁姗姗,中国大陆
豆瓣2015最受关注的|院线电影,9,港囧,[25710912](https://movie.douban.com/subject/25710912/),5.7,徐峥 / 徐峥 / 包贝尔,中国大陆
豆瓣2015最受关注的|院线电影,10,烈日灼心,[24719063](https://movie.douban.com/subject/24719063/),8.3,曹保平 / 邓超 / 段奕宏,中国大陆
 , , , , , , 
豆瓣2015最受关注的|非院线电影,1,疯狂的麦克斯4：狂暴之路 / Mad Max: Fury Road,[3592854](https://movie.douban.com/subject/3592854/),8.7,乔治·米勒 / 汤姆·哈迪 / 查理兹·塞隆,澳大利亚 美国
豆瓣2015最受关注的|非院线电影,2,机械姬 / Ex Machina,[4160540](https://movie.douban.com/subject/4160540/),7.6,亚历克斯·加兰 / 艾丽西亚·维坎德 / 多姆纳尔·格里森,英国
豆瓣2015最受关注的|非院线电影,3,五十度灰 / Fifty Shades of Grey,[24840488](https://movie.douban.com/subject/24840488/),5.6,萨姆·泰勒·约翰逊 / 詹米·多南 / 达科塔·约翰逊,美国
豆瓣2015最受关注的|非院线电影,4,女间谍 / Spy,[25752261](https://movie.douban.com/subject/25752261/),7.5,保罗·费格 / 梅丽莎·麦卡西 / 杰森·斯坦森,美国
