Index,Group 分榜,Rank 排名,Title 电影,Score 打分,Region 地区,Genre 类型,Staff 人员
0,豆瓣2019评分最高华语电影,1,哪吒之魔童降世,8.40,中国大陆, ,饺子 / 吕艳婷 / 囧森瑟夫
1,豆瓣2019评分最高华语电影,2,少年的你,8.20,中国大陆 中国香港, ,曾国祥 / 周冬雨 / 易烊千玺
2,豆瓣2019评分最高华语电影,3,谁先爱上他的,8.60,中国台湾, ,徐誉庭 / 邱泽 / 谢盈萱
3,豆瓣2019评分最高华语电影,4,流浪地球,7.90,中国大陆, ,郭帆 / 吴京 / 屈楚萧
4,豆瓣2019评分最高华语电影,5,罗小黑战记,8.00,中国大陆, ,木头 / 山新 / 郝祥海
5,豆瓣2019评分最高华语电影,6,我和我的祖国,7.60,中国大陆, ,陈凯歌 / 黄渤 / 张译
6,豆瓣2019评分最高华语电影,7,白蛇：缘起,7.80,中国大陆 美国, ,黄家康 / 张喆 / 杨天翔
7,豆瓣2019评分最高华语电影,8,地久天长,8.00,中国大陆, ,王小帅 / 王景春 / 咏梅
8,豆瓣2019评分最高华语电影,9,过春天,7.70,中国大陆, ,白雪 / 黄尧 / 孙阳
9,豆瓣2019评分最高华语电影,10,误杀,7.50,中国大陆, ,柯汶利 / 肖央 / 谭卓
10, , , , , , , 
11,豆瓣2019评分最高外语电影,1,何以为家,9.10,黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国, ,娜丁·拉巴基 / 赞恩·阿尔·拉菲亚 / 约丹诺斯·希费罗
12,豆瓣2019评分最高外语电影,2,绿皮书,8.90,美国 中国大陆, ,彼得·法雷里 / 维果·莫腾森 / 马赫沙拉·阿里
13,豆瓣2019评分最高外语电影,3,小丑,8.70,美国 加拿大, ,托德·菲利普斯 / 华金·菲尼克斯 / 罗伯特·德尼罗
14,豆瓣2019评分最高外语电影,4,寄生虫,8.80,韩国, ,奉俊昊 / 宋康昊 / 李善均
15,豆瓣2019评分最高外语电影,5,波西米亚狂想曲,8.60,英国 美国, ,布莱恩·辛格 / 拉米·马雷克 / 本·哈迪
16,豆瓣2019评分最高外语电影,6,复仇者联盟4：终局之战,8.50,美国, ,安东尼·罗素 / 小罗伯特·唐尼 / 克里斯·埃文斯
17,豆瓣2019评分最高外语电影,7,蜘蛛侠：平行宇宙,8.60,美国, ,鲍勃·佩尔西凯蒂 / 沙梅克·摩尔 / 杰克·约翰逊
18,豆瓣2019评分最高外语电影,8,玩具总动员4,8.50,美国, ,乔什·库雷 / 汤姆·汉克斯 / 蒂姆·艾伦
19,豆瓣2019评分最高外语电影,9,调音师,8.20,印度, ,斯里兰姆·拉格万 / 阿尤斯曼·库拉纳 / 塔布
20,豆瓣2019评分最高外语电影,10,利刃出鞘,8.10,美国, ,莱恩·约翰逊 / 丹尼尔·克雷格 / 安娜·德·阿玛斯
21, , , , , , , 
22,豆瓣2019年度冷门佳片,1,爱尔兰人,8.80,美国, ,马丁·斯科塞斯 / 罗伯特·德尼罗 / 阿尔·帕西诺
23,豆瓣2019年度冷门佳片,2,婚姻故事,8.60,英国 美国, ,诺亚·鲍姆巴赫 / 斯嘉丽·约翰逊 / 亚当·德赖弗
24,豆瓣2019年度冷门佳片,3,死无对证,7.30,意大利, ,斯蒂法诺·摩尔蒂尼 / 里卡尔多·斯卡马奇奥 / 米丽娅姆·莱昂内
25,豆瓣2019年度冷门佳片,4,痛苦与荣耀,8.50,西班牙 法国, ,佩德罗·阿莫多瓦 / 安东尼奥·班德拉斯 / 阿谢尔·埃特塞安迪亚
26,豆瓣2019年度冷门佳片,5,无主之作,8.60,德国 意大利, ,弗洛里安·亨克尔·冯·多纳斯马尔克 / 汤姆·希林 / 塞巴斯蒂安·科赫
27,豆瓣2019年度冷门佳片,6,孟买酒店,8.40,澳大利亚 美国 印度, ,安东尼·马拉斯 / 艾米·汉莫 / 纳赞宁·波妮阿蒂
28,豆瓣2019年度冷门佳片,7,气球,8.40,德国, ,米夏埃尔·赫尔比希 / 弗莱德里奇·穆克 / 卡罗利妮·舒赫
29,豆瓣2019年度冷门佳片,8,绝杀慕尼黑,8.10,俄罗斯, ,安东·梅格尔季切夫 / 弗拉基米尔·马什科夫 / 约翰·萨维奇
30,豆瓣2019年度冷门佳片,9,我在雨中等你,8.40,美国, ,西蒙·柯蒂斯 / 凯文·科斯特纳 / 米洛·文堤米利亚
31,豆瓣2019年度冷门佳片,10,女孩,8.10,比利时 荷兰, ,卢卡斯·德霍特 / 维克托·波尔斯特 / 阿里耶·沃索尔特
32, , , , , , , 
33,豆瓣2019评分最高韩国电影,1,寄生虫,8.80,韩国, ,奉俊昊 / 宋康昊 / 李善均
34,豆瓣2019评分最高韩国电影,2,82年生的金智英,8.60,韩国, ,金度英 / 郑有美 / 孔刘
35,豆瓣2019评分最高韩国电影,3,我的一级兄弟,8.30,韩国, ,尹尚孝 / 申河均 / 李光洙
36,豆瓣2019评分最高韩国电影,4,摇摆狂潮,8.20,韩国, ,姜炯哲 / 都暻秀 / 朴惠秀
37,豆瓣2019评分最高韩国电影,5,小委托人,8.10,韩国, ,张圭声 / 李东辉 / 柳善
38,豆瓣2019评分最高韩国电影,6,恶人传,7.80,韩国, ,李元泰 / 马东锡 / 金武烈
39,豆瓣2019评分最高韩国电影,7,极限职业,7.80,韩国, ,李炳宪 / 柳承龙 / 李荷妮
40,豆瓣2019评分最高韩国电影,8,柳烈的音乐专辑,7.90,韩国, ,郑址宇 / 金高银 / 丁海寅
41,豆瓣2019评分最高韩国电影,9,极限逃生,7.50,韩国, ,李相槿 / 曹政奭 / 林允儿
42,豆瓣2019评分最高韩国电影,10,证人,7.80,韩国, ,李翰 / 郑雨盛 / 金香起
43, , , , , , , 
44,豆瓣2019评分最高日本电影,1,阳光姐妹淘,8.30,日本, ,大根仁 / 筱原凉子 / 广濑铃
45,豆瓣2019评分最高日本电影,2,行骗天下JP：浪漫篇,8.10,日本, ,田中亮 / 长泽雅美 / 东出昌大
46,豆瓣2019评分最高日本电影,3,漫长的告别,7.60,日本, ,中野量太 / 苍井优 / 竹内结子
47,豆瓣2019评分最高日本电影,4,日日是好日,8.20,日本, ,大森立嗣 / 黑木华 / 树木希林
48,豆瓣2019评分最高日本电影,5,我们是小僵尸,7.60,日本, ,长久允 / 二宫庆多 / 水野哲志
49,豆瓣2019评分最高日本电影,6,七个会议,7.70,日本, ,福泽克雄 / 野村万斋 / 香川照之
50,豆瓣2019评分最高日本电影,7,你的鸟儿会唱歌,7.70,日本, ,三宅唱 / 柄本佑 / 染谷将太
51,豆瓣2019评分最高日本电影,8,银魂2,7.20,日本, ,福田雄一 / 小栗旬 / 菅田将晖
52,豆瓣2019评分最高日本电影,9,夜以继日,7.70,日本 法国, ,滨口龙介 / 东出昌大 / 唐田英里佳
53,豆瓣2019评分最高日本电影,10,深红累之渊,7.40,日本, ,佐藤祐市 / 土屋太凤 / 芳根京子
54, , , , , , , 
55,豆瓣2019评分最高喜剧片,1,绿皮书,8.90,美国 中国大陆, ,彼得·法雷里 / 维果·莫腾森 / 马赫沙拉·阿里
56,豆瓣2019评分最高喜剧片,2,寄生虫,8.80,韩国, ,奉俊昊 / 宋康昊 / 李善均
57,豆瓣2019评分最高喜剧片,3,谁先爱上他的,8.60,中国台湾, ,徐誉庭 / 邱泽 / 谢盈萱
58,豆瓣2019评分最高喜剧片,4,调音师,8.20,印度, ,斯里兰姆·拉格万 / 阿尤斯曼·库拉纳 / 塔布
59,豆瓣2019评分最高喜剧片,5,利刃出鞘,8.10,美国, ,莱恩·约翰逊 / 丹尼尔·克雷格 / 安娜·德·阿玛斯
60,豆瓣2019评分最高喜剧片,6,我的一级兄弟,8.30,韩国, ,尹尚孝 / 申河均 / 李光洙
61,豆瓣2019评分最高喜剧片,7,阳光姐妹淘,8.30,日本, ,大根仁 / 筱原凉子 / 广濑铃
62,豆瓣2019评分最高喜剧片,8,行骗天下JP：浪漫篇,8.10,日本, ,田中亮 / 长泽雅美 / 东出昌大
63,豆瓣2019评分最高喜剧片,9,我在雨中等你,8.40,美国, ,西蒙·柯蒂斯 / 凯文·科斯特纳 / 米洛·文堤米利亚
64,豆瓣2019评分最高喜剧片,10,平原上的夏洛克,7.80,中国大陆, ,徐磊 / 徐朝英 / 张占义
65, , , , , , , 
66,豆瓣2019评分最高爱情片,1,婚姻故事,8.60,英国 美国, ,诺亚·鲍姆巴赫 / 斯嘉丽·约翰逊 / 亚当·德赖弗
67,豆瓣2019评分最高爱情片,2,少年的你,8.20,中国大陆 中国香港, ,曾国祥 / 周冬雨 / 易烊千玺
68,豆瓣2019评分最高爱情片,3,柳烈的音乐专辑,7.90,韩国, ,郑址宇 / 金高银 / 丁海寅
69,豆瓣2019评分最高爱情片,4,蜂鸟,8.00,韩国, ,金宝拉 / 朴持厚 / 金玺碧
70,豆瓣2019评分最高爱情片,5,阿拉丁,7.40,美国, ,盖·里奇 / 梅纳·玛索德 / 娜奥米·斯科特
