Title 电影,Rank 排名,Score 打分,Votes 人数,Year 年份,Genre 类型,Length 片长,Rate 分级
[The Shawshank Redemption](https://www.imdb.com/title/tt0111161/),🎉001,🌟9.3,2809451,1994,Drama,142,R
[The Godfather](https://www.imdb.com/title/tt0068646/),🎉002,🌟9.2,1957805,1972,"Crime,Drama",175,R
[The Dark Knight](https://www.imdb.com/title/tt0468569/),🎉003,🌟9,2791092,2008,"Action,Crime,Drama",152,PG-13
[The Godfather Part II](https://www.imdb.com/title/tt0071562/),🎉004,🌟9,1329418,1974,"Crime,Drama",202,R
[12 Angry Men](https://www.imdb.com/title/tt0050083/),🎉005,🌟9,836361,1957,"Crime,Drama",96,Approved
[Schindler's List](https://www.imdb.com/title/tt0108052/),🎉006,🌟9,1412275,1993,"Biography,Drama,History",195,R
[The Lord of the Rings: The Return of the King](https://www.imdb.com/title/tt0167260/),🎉007,🌟9,1923264,2003,"Action,Adventure,Drama",201,PG-13
[Pulp Fiction](https://www.imdb.com/title/tt0110912/),🎉008,🌟8.9,2154559,1994,"Crime,Drama",154,R
[The Lord of the Rings: The Fellowship of the Ring](https://www.imdb.com/title/tt0120737/),🎉009,🌟8.8,1951334,2001,"Action,Adventure,Drama",178,PG-13
"[The Good, the Bad and the Ugly](https://www.imdb.com/title/tt0060196/)",🎉010,🌟8.8,791923,1966,"Adventure,Western",178,Approved
[Forrest Gump](https://www.imdb.com/title/tt0109830/),🎉011,🌟8.8,2187043,1994,"Drama,Romance",142,PG-13
[Fight Club](https://www.imdb.com/title/tt0137523/),🎉012,🌟8.8,2243820,1999,Drama,139,R
[The Lord of the Rings: The Two Towers](https://www.imdb.com/title/tt0167261/),🎉013,🌟8.8,1735229,2002,"Action,Adventure,Drama",179,PG-13
[Inception](https://www.imdb.com/title/tt1375666/),🎉014,🌟8.8,2477261,2010,"Action,Adventure,Sci-Fi",148,PG-13
