index,排名,日本-电影名,豆瓣电影,豆瓣年份,豆瓣ID,豆瓣打分,导演,类型,地区,（空白）,排名,外国-电影名,豆瓣电影,豆瓣年份,豆瓣ID,豆瓣打分,导演,类型,地区
0,1,七人の侍（黒澤明 / 《七武士》（黑泽明，1954））,七武士 七人の侍,1954,[1295399](https://movie.douban.com/subject/1295399/),9.3,黑泽明,动作 / 冒险 / 剧情,日本, ,1,第三の男 / キャロル・リード,第三人 The Third Man,1949,[1295451](https://movie.douban.com/subject/1295451/),8.2,卡罗尔·里德,黑色电影 / 悬疑 / 惊悚,英国
1,2,浮雲（成瀬巳喜男 / 《浮云》（成濑巳喜男，1955））,浮云 浮雲,1955,[1298870](https://movie.douban.com/subject/1298870/),8.6,成濑巳喜男,剧情 / 爱情,日本, ,2,２００１年宇宙の旅 / スタンリー・キューブリック,2001太空漫游 2001: A Space Odyssey,1968,[1292226](https://movie.douban.com/subject/1292226/),8.9,斯坦利·库布里克,科幻 / 惊悚 / 冒险,英国/美国
2,3,飢餓海峡（内田吐夢 / 《饥饿海峡》（内田吐梦，1964））,饥饿海峡 飢餓海峽,1965,[1305567](https://movie.douban.com/subject/1305567/),8.3,内田吐梦,犯罪 / 剧情 / 悬疑,日本, ,3,ローマの休日 / ウィリアム・ワイラー,罗马假日 Roman Holiday,1953,[1293839](https://movie.douban.com/subject/1293839/),9.1,威廉·惠勒,喜剧 / 剧情 / 爱情,美国
3,3,東京物語（小津安二郎 / 《东京物语》（小津安二郎，1953））,东京物语 東京物語,1953,[1291568](https://movie.douban.com/subject/1291568/),9.1,小津安二郎,剧情 / 家庭,日本, ,4,アラビアのロレンス / デイヴィッド・リーン,阿拉伯的劳伦斯 Lawrence of Arabia,1962,[1292349](https://movie.douban.com/subject/1292349/),8.7,大卫·里恩,剧情 / 传记 / 冒险,英国
4,5,幕末太陽伝（川島雄三 / 《幕末太阳传》（川岛雄三，1957））,幕末太阳传 幕末太陽伝,1957,[1427378](https://movie.douban.com/subject/1427378/),7.9,川岛雄三,剧情 / 喜剧,日本, ,5,風とともに去りぬ / ヴィクター・フレミング,乱世佳人 Gone with the Wind,1939,[1300267](https://movie.douban.com/subject/1300267/),9.3,维克多·弗莱明 / 乔治·库克 / 山姆·伍德,剧情 / 历史 / 爱情 / 战争,美国
5,5,羅生門（黒澤明 / 《罗生门》（黑泽明，1950））,罗生门 羅生門,1950,[1291879](https://movie.douban.com/subject/1291879/),8.8,黑泽明,剧情 / 犯罪 / 悬疑,日本, ,6,市民ケーン / オーソン・ウェルズ,公民凯恩 Citizen Kane,1941,[1292288](https://movie.douban.com/subject/1292288/),8.8,奥逊·威尔斯,剧情 / 悬疑,美国
6,7,赤い殺意（今村昌平 / 《赤色杀意》（今村昌平，1964））,赤色杀机 赤い殺意,1964,[1433503](https://movie.douban.com/subject/1433503/),8.1,今村昌平,剧情,日本, ,7,駅馬車 / ジョン・フォード,关山飞渡 Stagecoach,1939,[1298134](https://movie.douban.com/subject/1298134/),8.4,约翰·福特,动作 / 剧情 / 爱情 / 西部,美国
7,8,仁義なき戦い（深作欣二 / 《无仁义的战争》系列（深作欣二，1973－74））,无仁义之战 仁義なき戦い,1973,[1394518](https://movie.douban.com/subject/1394518/),8,深作欣二,犯罪 / 剧情,日本, ,7,禁じられた遊び / ルネ・クネマン,禁忌的游戏 Jeux interdits,1952,[1421933](https://movie.douban.com/subject/1421933/),8.4,雷内·克莱芒,剧情 / 战争,法国
8,8,二十四の瞳（木下恵介 / 《二十四之瞳》（木下惠介，1954））,二十四只眼睛 二十四の瞳,1954,[1306807](https://movie.douban.com/subject/1306807/),8.5,木下惠介,剧情,日本, ,7,ゴッド・ファーザー　３部作 / フランシス・フォード・コッポラ,教父 The Godfather,1972,[1291841](https://movie.douban.com/subject/1291841/),9.3,弗朗西斯·福特·科波拉,剧情 / 犯罪,美国
9,10,雨月物語（溝口健二 / 《雨月物语》（沟口健二，1953））,雨月物语 雨月物語,1953,[1303577](https://movie.douban.com/subject/1303577/),8.6,沟口健二,剧情 / 战争 / 奇幻,日本, ,7,道 / フェデリコ・フェリーニ,大路 La strada,1954,[1292719](https://movie.douban.com/subject/1292719/),8.9,费德里科·费里尼,剧情,意大利
