Index,排名,日本映画,豆瓣电影,豆瓣年份,豆瓣ID,豆瓣打分,导演,类型,地区,备注,（空白）,排名,外国映画,豆瓣电影,豆瓣年份,豆瓣ID,豆瓣打分,导演,主演,类型,地区,desc,title
0,1位,東京物語（53）,东京物语 東京物語,1953,[1291568](https://movie.douban.com/subject/1291568/),9.1,小津安二郎,剧情 / 家庭,日本,1位 東京物語（53）, ,1位,ゴッドファーザー（72）,教父 The Godfather,1972,[1291841](https://movie.douban.com/subject/1291841/),9.3,弗朗西斯·福特·科波拉,马龙·白兰度 / 阿尔·帕西诺 / 詹姆斯·肯恩,剧情 / 犯罪,美国,1位ゴッドファーザー（72）, 
1,2位,七人の侍（54）,七武士 七人の侍,1954,[1295399](https://movie.douban.com/subject/1295399/),9.3,黑泽明,动作 / 冒险 / 剧情,日本,2位 七人の侍（54）, ,2位,タクシー・ドライバー（76）,出租车司机 Taxi Driver,1976,[1292222](https://movie.douban.com/subject/1292222/),8.6,马丁·斯科塞斯,罗伯特·德尼罗 / 朱迪·福斯特 / 斯碧尔·谢波德,剧情 / 犯罪,美国,2位タクシー・ドライバー（76）, 
2,3位,浮雲（55）,浮云 浮雲,1955,[1298870](https://movie.douban.com/subject/1298870/),8.6,成濑巳喜男,剧情 / 爱情,日本,3位 浮雲（55）, ,3位,ウエスト・サイド物語（61）,西区故事 West Side Story,1961,[1295225](https://movie.douban.com/subject/1295225/),7.5,杰罗姆·罗宾斯 / 罗伯特·怀斯,娜塔莉·伍德 / 理查德·贝梅尔 / 拉斯·坦布林,犯罪 / 剧情 / 歌舞 / 爱情,美国,3位ウエスト・サイド物語（61）, 
3,4位,幕末太陽傳(57),幕末太阳传 幕末太陽伝,1957,[1427378](https://movie.douban.com/subject/1427378/),7.9,川岛雄三,剧情 / 喜剧,日本,4位 幕末太陽傳(57), ,4位,第三の男（49）,第三人 The Third Man,1949,[1295451](https://movie.douban.com/subject/1295451/),8.2,卡罗尔·里德,约瑟夫·科顿 / 阿莉达·瓦利 / 奥逊·威尔斯,黑色电影 / 悬疑 / 惊悚,英国,4位第三の男（49）, 
4,5位,仁義なき戦い（73）,无仁义之战 仁義なき戦い,1973,[1394518](https://movie.douban.com/subject/1394518/),8,深作欣二,犯罪 / 剧情,日本,5位 仁義なき戦い（73）, ,5位,勝手にしやがれ（60）,精疲力尽 À bout de souffle,1960,[1353745](https://movie.douban.com/subject/1353745/),8.4,让-吕克·戈达尔,珍·茜宝 / 让-保罗·贝尔蒙多 / 达尼埃尔·布朗热,剧情 / 爱情 / 犯罪,法国,5位勝手にしやがれ（60）, 
5,6位,二十四の瞳（54）,二十四只眼睛 二十四の瞳,1954,[1306807](https://movie.douban.com/subject/1306807/),8.5,木下惠介,剧情,日本,6位 二十四の瞳（54）, , ,ワイルドバンチ（69）,日落黄沙 The Wild Bunch,1969,[1296963](https://movie.douban.com/subject/1296963/),8.3,萨姆·佩金帕,威廉·霍尔登 / 欧内斯特·博格宁 / 罗伯特·瑞安,动作 / 西部,美国,5位ワイルドバンチ（69）, 
6,7位,羅生門（50）,罗生门 羅生門,1950,[1291879](https://movie.douban.com/subject/1291879/),8.8,黑泽明,剧情 / 犯罪 / 悬疑,日本,7位 羅生門（50）, ,7位,2001年宇宙の旅（68）,2001太空漫游 2001: A Space Odyssey,1968,[1292226](https://movie.douban.com/subject/1292226/),8.9,斯坦利·库布里克,凯尔·杜拉 / 加里·洛克伍德 / 威廉姆·西尔维斯特,科幻 / 惊悚 / 冒险,英国/美国,7位2001年宇宙の旅（68）, 
7, ,丹下左膳餘話 百萬兩の壺（35）,丹下左膳余话·百万两之壶 丹下左膳餘話 百萬兩の壺,1935,[1468280](https://movie.douban.com/subject/1468280/),8.5,山中贞雄,喜剧,日本,7位 丹下左膳餘話 百萬兩の壺（35）, ,8位,ローマの休日（53）,罗马假日 Roman Holiday,1953,[1293839](https://movie.douban.com/subject/1293839/),9.1,威廉·惠勒,奥黛丽·赫本 / 格利高里·派克 / 埃迪·艾伯特,喜剧 / 剧情 / 爱情,美国,8位ローマの休日（53）, 
8, ,太陽を盗んだ男（79）,盗日者 太陽を盗んだ男,1979,[1300578](https://movie.douban.com/subject/1300578/),8.3,长谷川和彦,动作 / 犯罪 / 惊悚,日本,7位 太陽を盗んだ男（79）, , ,ブレードランナー（82）,银翼杀手 Blade Runner,1982,[1291839](https://movie.douban.com/subject/1291839/),8.6,雷德利·斯科特,哈里森·福特 / 鲁格·豪尔 / 肖恩·杨,科幻 / 惊悚,美国,8位ブレードランナー（82）, 
9,10位,家族ゲーム(83),家族游戏 家族ゲーム,1983,[1305550](https://movie.douban.com/subject/1305550/),7.7,森田芳光,喜剧 / 剧情,日本,10位 家族ゲーム(83), ,10位,駅馬車（39）,关山飞渡 Stagecoach,1939,[1298134](https://movie.douban.com/subject/1298134/),8.4,约翰·福特,克莱尔·特雷弗 / 约翰·韦恩 / 安迪·德怀恩,动作 / 剧情 / 爱情 / 西部,美国,10位駅馬車（39）, 
