Index,排名,电影名,豆瓣电影,豆瓣年份,豆瓣ID,豆瓣打分,导演,类型,地区
0,1,1、《东京物语》（小津安二郎，1953）,东京物语 東京物語,1953,[1291568](https://movie.douban.com/subject/1291568/),9.1,小津安二郎,剧情 / 家庭,日本
1,2,2、《七武士》（黑泽明，1954）,七武士 七人の侍,1954,[1295399](https://movie.douban.com/subject/1295399/),9.3,黑泽明,动作 / 冒险 / 剧情,日本
2,3,3、《浮云》（成濑巳喜男，1955）,浮云 浮雲,1955,[1298870](https://movie.douban.com/subject/1298870/),8.6,成濑巳喜男,剧情 / 爱情,日本
3,4,4、《人情纸风船》（山中贞雄，1937）,人情纸风船 人情紙風船,1937,[1428377](https://movie.douban.com/subject/1428377/),8.5,山中贞雄,剧情,日本
4,5,5、《西鹤一代女》（沟口健二，1952）,西鹤一代女 西鶴一代女,1952,[1303603](https://movie.douban.com/subject/1303603/),8.3,沟口健二,剧情,日本
5,6,6、《饥饿海峡》（内田吐梦，1964）,饥饿海峡 飢餓海峽,1965,[1305567](https://movie.douban.com/subject/1305567/),8.3,内田吐梦,犯罪 / 剧情 / 悬疑,日本
6,7,7、《罗生门》（黑泽明，1950）,罗生门 羅生門,1950,[1291879](https://movie.douban.com/subject/1291879/),8.8,黑泽明,剧情 / 犯罪 / 悬疑,日本
7,8,8、《生之欲》（黑泽明，1952）,生之欲 生きる,1952,[1293847](https://movie.douban.com/subject/1293847/),9.3,黑泽明,剧情,日本
8,9,9、《丹下佐膳余话，百万两之壶》（山中贞雄，1935）,丹下左膳余话·百万两之壶 丹下左膳餘話 百萬兩の壺,1935,[1468280](https://movie.douban.com/subject/1468280/),8.5,山中贞雄,喜剧,日本
9,10,10、《幕末太阳传》（川岛雄三，1957）,幕末太阳传 幕末太陽伝,1957,[1427378](https://movie.douban.com/subject/1427378/),7.9,川岛雄三,剧情 / 喜剧,日本
10,11,11、《麦秋》（小津安二郎，1951）,麦秋 麥秋,1951,[1401842](https://movie.douban.com/subject/1401842/),8.7,小津安二郎,剧情 / 家庭,日本
11,12,12、《雨月物语》（沟口健二，1953）,雨月物语 雨月物語,1953,[1303577](https://movie.douban.com/subject/1303577/),8.6,沟口健二,剧情 / 战争 / 奇幻,日本
12,12,12、《日本的夜与雾》（大岛渚，1960）,日本的夜与雾 日本の夜と霧,1960,[1306659](https://movie.douban.com/subject/1306659/),7.3,大岛渚,剧情,日本
13,14,14、《忠次旅日记》（全三部）（伊藤大辅，1927）,忠次旅日記 第1部「甲州殺陣篇」,1927,[4316831](https://movie.douban.com/subject/4316831/), ,伊藤大輔, ,日本
14,15,15、《近松物语》（沟口健二，1954）,近松物语 近松物語,1954,[1303600](https://movie.douban.com/subject/1303600/),8.3,沟口健二,剧情 / 爱情,日本
15,15,15、《无法松的一生》（稻垣浩，1943）,无法松的一生 無法松の一生,1958,[1294022](https://movie.douban.com/subject/1294022/),8.4,稻垣浩,剧情,日本
16,17,17、《二十四只眼睛》（木下惠介，1954）,二十四只眼睛 二十四の瞳,1954,[1306807](https://movie.douban.com/subject/1306807/),8.5,木下惠介,剧情,日本
17,18,18、《保镖》（黑泽明，1961）,用心棒,1961,[1292515](https://movie.douban.com/subject/1292515/),9.0,黑泽明,剧情 / 动作 / 惊悚,日本
18,18,18、《浪华悲歌》（沟口健二，1936）,浪华悲歌 浪華悲歌,1936,[1297556](https://movie.douban.com/subject/1297556/),7.3,沟口健二,剧情,日本
19,20,20、《东海道四谷怪谈》（中川信夫，1959）,东海道四谷怪谈 東海道四谷怪談,1959,[1764190](https://movie.douban.com/subject/1764190/),7.4,中川信夫,恐怖,日本
20,21,21、《前进！神军》（原一男，1987）,前进，神军！ ゆきゆきて、神軍,1987,[1308082](https://movie.douban.com/subject/1308082/),8.7,原一男,纪录片 / 战争,日本
21,22,22、《无仁义的战争》（全五部）（深作欣二，1973－1974）,无仁义之战 仁義なき戦い,1973,[1394518](https://movie.douban.com/subject/1394518/),8.0,深作欣二,犯罪 / 剧情,日本
22,23,23、《红色流星》（舛田利雄，1967）,红色流星 紅の流れ星,1967,[3073535](https://movie.douban.com/subject/3073535/),6.4,舛田利雄,动作,日本
23,23,23、《青春残酷物语》（大岛渚，1960）,青春残酷物语 青春残酷物語,1960,[1303691](https://movie.douban.com/subject/1303691/),7.4,大岛渚,剧情,日本
24,25,25、《晚春》（小津安二郎，1949）,晚春 晩春,1949,[1307265](https://movie.douban.com/subject/1307265/),8.7,小津安二郎,剧情 / 家庭,日本
25,26,26、《红色杀机》（今村昌平，1964）,赤色杀机 赤い殺意,1964,[1433503](https://movie.douban.com/subject/1433503/),8.1,今村昌平,剧情,日本
26,27,27、《来日再相逢》（今井正，1950）,来日再相逢 また逢う日まで,1950,[1547210](https://movie.douban.com/subject/1547210/),7.4,今井正,剧情 / 历史,日本
27,28,28、《无止境的前进》（内田吐梦，1937）,无止尽前行 限りなき前進,1937,[3716557](https://movie.douban.com/subject/3716557/), ,内田吐梦,剧情,日本
28,29,29、《裸岛》（新藤兼人，1960）,裸岛 裸の島,1960,[1303710](https://movie.douban.com/subject/1303710/),8.5,新藤兼人,剧情,日本
29,29,29、《日本昆虫记》（今村昌平，1963）,日本昆虫记 にっぽん昆虫記,1963,[1302917](https://movie.douban.com/subject/1302917/),8.3,今村昌平,剧情,日本
30,31,31、《斩》（三隅研次，1962）,斩 斬る,1962,[2284447](https://movie.douban.com/subject/2284447/),7.2,三隅研次,剧情 / 动作,日本
31,31,31、《泥水河》（小栗康平，1981）,泥之河 泥の河,1981,[1303065](https://movie.douban.com/subject/1303065/),8.7,小栗康平,剧情,日本
32,31,31、《赤西蛎太》（伊丹万作，1936）,赤西蛎太 赤西蠣太,1936,[1401332](https://movie.douban.com/subject/1401332/),7.7,伊丹万作,喜剧 / 历史 / 古装,日本
33,34,34、《天堂与地狱》（黑泽明，1963）,天国与地狱 天国と地獄,1963,[1293663](https://movie.douban.com/subject/1293663/),8.8,黑泽明,剧情 / 犯罪,日本
34,34,34、《赌徒，总长赌博》（山下耕作，1968）,赌一把 总头目之位 博奕打ち 総長賭博,1968,[3154844](https://movie.douban.com/subject/3154844/),7.4,山下耕作,动作,日本
35,34,34、《祇园姐妹》（沟口健二，1936）,祇园歌女 祇園囃子,1953,[1303602](https://movie.douban.com/subject/1303602/),8.3,沟口健二,剧情,日本
36,37,37、《真空地带》（山本萨夫，1952）,真空地带 真空地帯,1952,[1548812](https://movie.douban.com/subject/1548812/),8.7,山本萨夫,剧情 / 战争,日本
37,38,38、《女之园》（木下惠介，1954）,女之园 女の園,1954,[1307610](https://movie.douban.com/subject/1307610/),7.6,木下惠介,剧情,日本
38,39,39、《暴力挽歌》（铃木清顺，1966）,暴力挽歌 けんかえれじい,1966,[1401859](https://movie.douban.com/subject/1401859/),7.4,铃木清顺,剧情 / 喜剧 / 动作,日本
39,40,40、《火祭》（柳町光男，1985）,火祭 火まつり,1985,[2010018](https://movie.douban.com/subject/2010018/),7.7,柳町光男,剧情,日本
