Title 电影,Actor 主演,Rank 排名,Score 打分,Year 年份,Genre 类型,Wish 想看,Desc 说明
我不是药神,"徐峥,周一围,王传君",🎉001,🌟9.6,2018,"剧情,喜剧",164738,印度代神药，良心及时现
肖申克的救赎,"蒂姆·罗宾斯,摩根·弗里曼,鲍勃·冈顿",🎉002,🌟9.5,1994,"剧情,犯罪",7802, 
海上钢琴师,"蒂姆·罗斯,比尔·努恩 ,克兰伦斯·威廉姆斯三世",🎉003,🌟9.3,2019,"剧情,音乐",61601,真正广大无限的世界是你平静的内心
绿皮书,"维果·莫腾森,马赫沙拉·阿里,琳达·卡德里尼",🎉004,🌟9.5,2019,"剧情,喜剧,传记",40833,和你一起，一路向南
霸王别姬,"张国荣,张丰毅,巩俐",🎉005,🌟9.4,1993,"剧情,爱情",30,梦回少年忆，此间无蝶衣
美丽人生,"罗伯托·贝尼尼,朱斯蒂诺·杜拉诺,赛尔乔·比尼·布斯特里克",🎉006,🌟9.3,2020,"战争,剧情,爱情",19975,生活不完美却仍旧很美
这个杀手不太冷,"让·雷诺,加里·奥德曼,娜塔莉·波特曼",🎉007,🌟9.4,1994,"剧情,动作,犯罪",2495,北影节·评委会主席作品回顾
小偷家族,"中川雅也,安藤樱,松冈茉优",🎉008,🌟8.1,2018,"剧情,犯罪",107339,一家人偷来的温情时光
星际穿越,"马修·麦康纳,安妮·海瑟薇,杰西卡·查斯坦",🎉009,🌟9.3,2014,"剧情,科幻,冒险",111272,不要温和地走进那个良夜
怦然心动,"玛德琳·卡罗尔,卡兰·麦克奥利菲,艾丹·奎因",🎉010,🌟8.9,2010,爱情,3447,树上的美景，闪亮的眼睛
盗梦空间,"莱昂纳多·迪卡普里奥,渡边谦,约瑟夫·高登-莱维特",🎉011,🌟9.0,2010,"动作,悬疑,惊悚,科幻",25891,既然做梦，就做大点
哪吒之魔童降世,"吕艳婷,囧森瑟夫,瀚墨",🎉012,🌟9.6,2019,动画,172114,我命由我不由天
泰坦尼克号,"莱昂纳多·迪卡普里奥,凯特·温丝莱特,比利·赞恩",🎉013,🌟9.6,1998,"剧情,爱情,灾难",110909,唯美终悲剧，小李鲜肉期
阿甘正传,"汤姆·汉克斯,罗宾·怀特,加里·西尼斯",🎉014,🌟9.4,1994,"剧情,爱情",2613, 
楚门的世界,"金·凯瑞,劳拉·琳妮,诺亚·艾默里奇",🎉015,🌟8.9,1998,剧情,954, 
千与千寻,"柊瑠美,周冬雨,井柏然",🎉016,🌟9.3,2019,"动画,冒险,奇幻,家庭",247251,宫崎骏经典动画
触不可及,"弗朗索瓦·克鲁塞,奥马·希,安娜·勒尼",🎉017,🌟9.1,2011,"剧情,喜剧",2530, 
寻梦环游记,"安东尼·冈萨雷斯,本杰明·布拉特,盖尔·加西亚·贝纳尔",🎉018,🌟9.6,2017,"动作,动画,冒险",28396,"不曾遗忘,我们就不曾分离"
辛德勒的名单,"连姆·尼森,拉尔夫·费因斯,本·金斯利",🎉019,🌟9.2,1993,"剧情,历史,战争",778, 
