Index,香港《电影双周刊》排名,香港《电影双周刊》（电影名）,（空白）,《看电影》序号,《看电影》（豆瓣电影）,豆瓣ID,豆瓣打分,类型,（空白）,香港电影资料馆序号,香港电影资料馆（电影名）,年代,导演,原著,语言,（空白）,TimeOut排名,TimeOut电影名（2023）,TimeOut电影名（2019）,TimeOut电影名（2012，豆瓣电影）
0,1,"《英雄本色》（1986, 吴宇森）", ,1,"清宫秘史 清宮秘史 (1948, 朱石麟)",[1439106](https://movie.douban.com/subject/1439106/),7.3,剧情 / 历史 / 古装, ,1,《經巡中國》（经巡中国）,1916,导演／监制：班杰明•布拉斯基, ,黑白 无声 英文插入字幕, ,1,A Better Tomorrow 英雄本色 (1986),In the Mood for Love 花樣年華 (2000),"花样年华 花樣年華（2000, 王家卫）"
1,2,"《半斤八两》（1976, 许冠文）", ,2,"血染海棠红 (1949, 岳枫)",[2342386](https://movie.douban.com/subject/2342386/),7.7,犯罪 / 剧情, ,2,《孤島天堂》（孤岛天堂）,1939,导演／编剧：蔡楚生,原著：赵英才,黑白 国语, ,2,Days of Being Wild 阿飛正傳 (1990),Boat People 投奔怒海 (1982),"投奔怒海（1982, 许鞍华）"
2,3,"《阿飞正传》（1990, 王家卫）", ,3,"珠江泪 (1950, 蔡楚生 / 王为一)",[1844535](https://movie.douban.com/subject/1844535/),7,剧情, ,3,《延安内貌》（又名《西北線上》）（延安内貌（西北线上））,1941,导演／编剧：林苍、徐天翔, ,黑白 无声 中文插入字幕, ,3,In the Mood for Love 花樣年華 (2000),A Better Tomorrow 英雄本色 (1986),"英雄本色（1986, 吴宇森）"
3,4,"《精武门》（1972, 罗维）", ,4,"红菱血 紅菱血(上下集)  (1951, 唐涤生)",[3540159](https://movie.douban.com/subject/3540159/), , , ,4,《民族的吼聲》（民族的吼声）,1941,导演：汤晓丹, ,黑白 粤语, ,4,Anita 梅艷芳 (2021),Days of Being Wild 阿飛正傳 (1990),"梁山伯与祝英台 梁山伯與祝英台（1963, 李翰祥）"
4,5,"《投奔怒海》（1982, 许鞍华）", ,5,"危楼春晓 危樓春曉 (1953, 李铁)",[1401527](https://movie.douban.com/subject/1401527/),7.6,剧情, ,5,《勳業千秋》（又名《建國史之一頁》）（勋业千秋（建国史之一页））,1941,导演／监制／剪辑：黎民伟, ,黑白 国语旁白 中文插入字幕, ,5,The Love Eterne 梁山伯與祝英台 (1963),The Love Eterne 梁山伯與祝英台 (1963),"阿飞正传 阿飛正傳（1990, 王家卫）"
5,6,"《秋天的童话》（1987, 张婉婷）", ,6,"中秋月 (1953, 朱石麟)",[1848188](https://movie.douban.com/subject/1848188/), , , ,6,《清宮秘史》（清宫秘史）,1948,导演：朱石麟,编剧／原著：姚克剧作《清宫怨》,黑白 国语, ,6,"Crouching Tiger, Hidden Dragon 臥虎藏龍 (2000)","Crouching Tiger, Hidden Dragon 臥虎藏龍 (2000)","卧虎藏龙 臥虎藏龍（2000, 李安）"
6,7,"《可怜天下父母心》（1960, 楚原）", ,7,"父母心 (1955, 秦剑)",[1848185](https://movie.douban.com/subject/1848185/),8.4,剧情, ,7,《血染海棠紅》（血染海棠红）,1949,导演：岳枫, ,黑白 国语, ,7,Still Human 淪落人 (2018),Still Human 淪落人 (2018),"董夫人（1968, 唐书璇）"
7,8,"《帝女花》（1959, 左几）", ,8,"寒夜 (1955, 李晨风)",[1301330](https://movie.douban.com/subject/1301330/),7.1,剧情 / 家庭, ,8,《黃飛鴻正傳上集之鞭風滅燭》、《黃飛鴻正傳下集大結局之火燒霸王莊》（黄飞鸿正传上下集（鞭风灭烛 、火烧霸王庄））,1949,导演：胡鹏, ,黑白 粤语, ,8,The Private Eyes 半斤八両 (1976),The Private Eyes 半斤八両 (1976),"半斤八两 半斤八兩（1976, 许冠文）"
8,9,"《新蜀山剑侠》（1983, 徐克）", ,9,"曼波女郎 (1957, 易文)",[1401609](https://movie.douban.com/subject/1401609/),7.1,剧情 / 歌舞, ,9,《珠江淚》（珠江泪）,1950,导演：王为一, ,黑白 粤语, ,9,Election 2 (2006),Election 2 (2006),"黑社会2：以和为贵 黑社會以和為貴（2006, 杜琪峰）"
9,9,"《省港骑兵》（1984, 麦当雄）", ,10,"四千金 (1957, 陶秦)",[1305684](https://movie.douban.com/subject/1305684/),7.7,剧情, ,10,《細路祥》（细路祥）,1950,导演：冯峰,原著：袁步云同名漫画,黑白 粤语, ,10,Long Arm of the Law 省港旗兵 (1984),Long Arm of the Law 省港旗兵 (1984),"省港旗兵（1984, 麦当雄）"
